condition,seed,task_name,realized_sample_count
pretrain_component,2,A00_copy,3518
pretrain_component,2,A01_reverse,69944
pretrain_component,2,A02_substitute,2673
pretrain_component,2,A03_copy,3351
pretrain_component,2,A04_reverse,4691
pretrain_component,2,A05_substitute,3199
pretrain_component,2,A06_copy,16283
pretrain_component,2,A07_reverse,8920
pretrain_component,2,C00_reverse_then_substitute_02_05,3827
pretrain_component,2,C01_substitute_then_reverse_01_03,34415
pretrain_component,2,C02_copy_then_substitute_04_07,4047
pretrain_component,2,C03_reverse_then_substitute_06_01,22303
pretrain_component,2,C04_substitute_then_reverse_03_07,5795
pretrain_component,2,C05_copy_then_substitute_07_06,2295
pretrain_component,2,C06_reverse_then_substitute_01_05,12891
pretrain_component,2,C07_substitute_then_reverse_07_03,6890
pretrain_component,2,K00_shortcut_for_A07_reverse,2502
pretrain_component,2,K01_shortcut_for_A03_copy,4996
pretrain_component,2,K02_shortcut_for_A00_copy,2577
pretrain_component,2,S00_surface_rotate,6204
pretrain_component,2,S01_surface_rotate,2884
pretrain_component,2,S02_surface_rotate,4423
pretrain_component,2,U00_unrelated_substitute,10701
pretrain_component,2,U01_unrelated_substitute,2945
pretrain_component,2,U02_unrelated_substitute,7838
