condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
baseline,0,A00_xor2_12_26,atomic,,0.9,2,balanced_accuracy,0.5649242997169495,0.56494140625,0.5649242997169495
baseline,0,A01_and_bits_31_32,atomic,,0.9,2,balanced_accuracy,0.7462517619132996,0.8525390625,0.7462517619132996
baseline,0,A02_or_bits_19_44,atomic,,0.9,2,balanced_accuracy,0.9233672022819519,0.9521484375,0.9233672022819519
baseline,0,A03_xor2_18_17,atomic,,0.9,2,balanced_accuracy,0.5070347785949707,0.5068359375,0.5070347785949707
baseline,0,A04_bit_8,atomic,102400.0,0.9,2,balanced_accuracy,0.9712875783443451,0.970703125,0.9712875783443451
baseline,0,A05_not_bit_33,atomic,62464.0,0.9,2,balanced_accuracy,0.9990328848361969,0.9990234375,0.9990328848361969
baseline,0,A06_or_bits_46_41,atomic,76288.0,0.9,2,balanced_accuracy,0.9904942810535431,0.9951171875,0.9904942810535431
baseline,0,A07_bit_10,atomic,82432.0,0.9,2,balanced_accuracy,0.9990384578704834,0.9990234375,0.9990384578704834
baseline,0,A08_bit_22,atomic,,0.9,2,balanced_accuracy,0.851315826177597,0.849609375,0.851315826177597
baseline,0,A09_xor2_22_5,atomic,,0.9,2,balanced_accuracy,0.5917579531669617,0.591796875,0.5917579531669617
baseline,0,A10_xor2_9_25,atomic,,0.9,2,balanced_accuracy,0.63850536942482,0.63623046875,0.63850536942482
baseline,0,A11_eq2_30_27,atomic,,0.9,2,balanced_accuracy,0.5210996270179749,0.5205078125,0.5210996270179749
baseline,0,C00_and_02_06,composite,,0.9,2,balanced_accuracy,0.81227707862854,0.81787109375,0.81227707862854
baseline,0,C01_and_00_09,composite,,0.9,2,balanced_accuracy,0.5174689702689648,0.75244140625,0.5174689702689648
baseline,0,C02_and_05_06,composite,78336.0,0.9,2,balanced_accuracy,0.9608190655708313,0.966796875,0.9608190655708313
baseline,0,C03_and_10_08,composite,,0.9,2,balanced_accuracy,0.60577841848135,0.79638671875,0.60577841848135
baseline,0,C04_or_05_10,composite,,0.9,2,balanced_accuracy,0.7300591766834259,0.806640625,0.7300591766834259
baseline,0,C05_and_07_05,composite,116224.0,0.9,2,balanced_accuracy,0.925518661737442,0.95947265625,0.925518661737442
baseline,0,C06_and_10_08,composite,,0.9,2,balanced_accuracy,0.5368719547986984,0.7685546875,0.5368719547986984
baseline,0,C07_or_02_00,composite,,0.9,2,balanced_accuracy,0.5265553630888462,0.884765625,0.5265553630888462
baseline,0,C08_or_00_10,composite,,0.9,2,balanced_accuracy,0.535116370767355,0.7607421875,0.535116370767355
baseline,0,C09_or_03_00,composite,,0.9,2,balanced_accuracy,0.5059201605618,0.71630859375,0.5059201605618
baseline,0,K00_shortcut_for_05_bit18,shortcut,,0.9,2,balanced_accuracy,0.6135714203119278,0.6123046875,0.6135714203119278
baseline,0,K01_shortcut_for_02_bit46,shortcut,86016.0,0.9,2,balanced_accuracy,0.9795175194740295,0.97900390625,0.9795175194740295
baseline,0,K02_shortcut_for_02_bit12,shortcut,116224.0,0.9,2,balanced_accuracy,0.9164661765098572,0.91650390625,0.9164661765098572
baseline,0,K03_shortcut_for_09_bit29,shortcut,44032.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
baseline,0,S00_surface_xor_13_2,surface_control,,0.9,2,balanced_accuracy,0.5106717795133591,0.51416015625,0.5106717795133591
baseline,0,S01_surface_xor_9_46,surface_control,,0.9,2,balanced_accuracy,0.48619750142097473,0.48583984375,0.48619750142097473
baseline,0,S02_surface_xor_8_39,surface_control,,0.9,2,balanced_accuracy,0.5300044864416122,0.53173828125,0.5300044864416122
baseline,0,S03_surface_xor_21_47,surface_control,,0.9,2,balanced_accuracy,0.5433301329612732,0.5439453125,0.5433301329612732
baseline,0,U00_xor2_12_37,unrelated,,0.9,2,balanced_accuracy,0.6821858882904053,0.68115234375,0.6821858882904053
baseline,0,U01_or_bits_46_28,unrelated,,0.9,2,balanced_accuracy,0.6854663789272308,0.78466796875,0.6854663789272308
baseline,0,U02_xor2_1_29,unrelated,,0.9,2,balanced_accuracy,0.5186282992362976,0.51806640625,0.5186282992362976
baseline,0,U03_and_bits_37_42,unrelated,,0.9,2,balanced_accuracy,0.7034505307674408,0.83544921875,0.7034505307674408
upweight_component,0,A00_xor2_12_26,atomic,,0.9,2,balanced_accuracy,0.5569067746400833,0.55712890625,0.5569067746400833
upweight_component,0,A01_and_bits_31_32,atomic,,0.9,2,balanced_accuracy,0.6005859300494194,0.7841796875,0.6005859300494194
upweight_component,0,A02_or_bits_19_44,atomic,,0.9,2,balanced_accuracy,0.8151562511920929,0.89306640625,0.8151562511920929
upweight_component,0,A03_xor2_18_17,atomic,,0.9,2,balanced_accuracy,0.5341449081897736,0.5341796875,0.5341449081897736
upweight_component,0,A04_bit_8,atomic,116224.0,0.9,2,balanced_accuracy,0.8989488780498505,0.89599609375,0.8989488780498505
upweight_component,0,A05_not_bit_33,atomic,70144.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
upweight_component,0,A06_or_bits_46_41,atomic,90112.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
upweight_component,0,A07_bit_10,atomic,40448.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
upweight_component,0,A08_bit_22,atomic,,0.9,2,balanced_accuracy,0.773447722196579,0.77001953125,0.773447722196579
upweight_component,0,A09_xor2_22_5,atomic,,0.9,2,balanced_accuracy,0.5877530872821808,0.58837890625,0.5877530872821808
upweight_component,0,A10_xor2_9_25,atomic,,0.9,2,balanced_accuracy,0.6381562054157257,0.6396484375,0.6381562054157257
upweight_component,0,A11_eq2_30_27,atomic,,0.9,2,balanced_accuracy,0.5133954584598541,0.513671875,0.5133954584598541
upweight_component,0,C00_and_02_06,composite,,0.9,2,balanced_accuracy,0.8005006015300751,0.81787109375,0.8005006015300751
upweight_component,0,C01_and_00_09,composite,,0.9,2,balanced_accuracy,0.5059155728667974,0.7568359375,0.5059155728667974
upweight_component,0,C02_and_05_06,composite,98304.0,0.9,2,balanced_accuracy,0.9715898633003235,0.97607421875,0.9715898633003235
upweight_component,0,C03_and_10_08,composite,,0.9,2,balanced_accuracy,0.5632914006710052,0.78173828125,0.5632914006710052
upweight_component,0,C04_or_05_10,composite,,0.9,2,balanced_accuracy,0.7609124481678009,0.7939453125,0.7609124481678009
upweight_component,0,C05_and_07_05,composite,82432.0,0.9,2,balanced_accuracy,0.9452332258224487,0.9736328125,0.9452332258224487
upweight_component,0,C06_and_10_08,composite,,0.9,2,balanced_accuracy,0.5232559125870466,0.76318359375,0.5232559125870466
upweight_component,0,C07_or_02_00,composite,,0.9,2,balanced_accuracy,0.5204702038317919,0.88671875,0.5204702038317919
upweight_component,0,C08_or_00_10,composite,,0.9,2,balanced_accuracy,0.5762717798352242,0.751953125,0.5762717798352242
upweight_component,0,C09_or_03_00,composite,,0.9,2,balanced_accuracy,0.5211189240217209,0.64599609375,0.5211189240217209
upweight_component,0,K00_shortcut_for_05_bit18,shortcut,,0.9,2,balanced_accuracy,0.6394075155258179,0.6396484375,0.6394075155258179
upweight_component,0,K01_shortcut_for_02_bit46,shortcut,90112.0,0.9,2,balanced_accuracy,0.97007817029953,0.97021484375,0.97007817029953
upweight_component,0,K02_shortcut_for_02_bit12,shortcut,,0.9,2,balanced_accuracy,0.8790559470653534,0.87890625,0.8790559470653534
upweight_component,0,K03_shortcut_for_09_bit29,shortcut,56320.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
upweight_component,0,S00_surface_xor_13_2,surface_control,,0.9,2,balanced_accuracy,0.5204876959323883,0.51708984375,0.5204876959323883
