condition,seed,data_seen,task_name,kind,grad_mean_norm,grad_noise_rms,grad_snr,within_task_grad_alignment
baseline,0,0,A00_xor2_12_26,atomic,0.05082814022898674,0.10447101294994354,0.4865286436234146,-0.08542141613151259
baseline,0,0,A01_and_bits_31_32,atomic,0.4935486614704132,0.11256072670221329,4.384732365594472,0.9799358446079104
baseline,0,0,A02_or_bits_19_44,atomic,0.49813100695610046,0.07258085161447525,6.86311879605849,0.9845336869442024
baseline,0,0,A03_xor2_18_17,atomic,0.032749783247709274,0.14112064242362976,0.23206940306553947,-0.24647850153583817
baseline,0,0,A04_bit_8,atomic,0.09644150733947754,0.07403033971786499,1.3027294985504647,0.544039690494898
baseline,0,0,A05_not_bit_33,atomic,0.07683930546045303,0.07323465496301651,1.049220556828016,0.39725150636580353
baseline,0,0,A06_or_bits_46_41,atomic,0.49329930543899536,0.07078932970762253,6.968554547266871,0.9831852334738836
baseline,0,0,A07_bit_10,atomic,0.09211952984333038,0.15237556397914886,0.6045557925241314,0.1704474185550341
baseline,0,0,A08_bit_22,atomic,0.08421187102794647,0.06484020501375198,1.29876009813336,0.504092477430721
baseline,0,0,A09_xor2_22_5,atomic,0.04589201137423515,0.10185171663761139,0.4505767098365994,-0.17012530139500312
baseline,0,0,A10_xor2_9_25,atomic,0.08406365662813187,0.07874269038438797,1.067574097566411,0.4608958611036938
baseline,0,0,A11_eq2_30_27,atomic,0.04295731335878372,0.08344238251447678,0.5148140796532992,-0.059375247989328056
baseline,0,0,C00_and_02_06,composite,0.19484469294548035,0.061934322118759155,3.145988948885553,0.8819419952627969
baseline,0,0,C01_and_00_09,composite,0.44371727108955383,0.11122126132249832,3.9895004409180106,0.9800759641730729
baseline,0,0,C02_and_05_06,composite,0.28074780106544495,0.08035103976726532,3.4940157821868834,0.9393985560356851
baseline,0,0,C03_and_10_08,composite,0.4592331349849701,0.0836469829082489,5.49013388185448,0.9804387478579187
baseline,0,0,C04_or_05_10,composite,0.45831847190856934,0.08398178219795227,5.457355868238375,0.9796976985116331
baseline,0,0,C05_and_07_05,composite,0.47460445761680603,0.06285373121500015,7.550935297473475,0.984292839834591
baseline,0,0,C06_and_10_08,composite,0.45707225799560547,0.06182823330163956,7.3926139173071315,0.981997084862016
baseline,0,0,C07_or_02_00,composite,0.715091347694397,0.05768020451068878,12.397517549534435,0.9936504029782841
baseline,0,0,C08_or_00_10,composite,0.4494136869907379,0.07470926642417908,6.015501269053729,0.979538133452722
baseline,0,0,C09_or_03_00,composite,0.47290435433387756,0.08066277951002121,5.862733186243143,0.9812577123991546
baseline,0,0,K00_shortcut_for_05_bit18,shortcut,0.10530874878168106,0.07865284383296967,1.3389057998205383,0.5670461621995417
baseline,0,0,K01_shortcut_for_02_bit46,shortcut,0.09235458076000214,0.06571361422538757,1.405410155068244,0.5571628163809228
baseline,0,0,K02_shortcut_for_02_bit12,shortcut,0.09417448937892914,0.10075172036886215,0.9347184249878033,0.33111248950714955
baseline,0,0,K03_shortcut_for_09_bit29,shortcut,0.12182893604040146,0.08976327627897263,1.3572247035682576,0.6072514787970047
baseline,0,0,S00_surface_xor_13_2,surface_control,0.03670749440789223,0.06474772840738297,0.5669309999011434,-0.010658317914613386
baseline,0,0,S01_surface_xor_9_46,surface_control,0.04293446242809296,0.0916130319237709,0.46865016391280534,-0.07004525603161289
baseline,0,0,S02_surface_xor_8_39,surface_control,0.0534009113907814,0.09465523064136505,0.56416228694794,-0.020873923840166536
baseline,0,0,S03_surface_xor_21_47,surface_control,0.04113985225558281,0.07833690941333771,0.5251656283500653,-0.021140566724868012
baseline,0,0,U00_xor2_12_37,unrelated,0.06406398117542267,0.1129537969827652,0.5671697887644321,0.013954755661519122
baseline,0,0,U01_or_bits_46_28,unrelated,0.4652438461780548,0.0843796655535698,5.513696257508553,0.977699215974749
baseline,0,0,U02_xor2_1_29,unrelated,0.03231348097324371,0.061650071293115616,0.5241434485790769,-0.023863340042094876
baseline,0,0,U03_and_bits_37_42,unrelated,0.4267708361148834,0.07654491811990738,5.5754300427988275,0.9756348301375032
baseline,0,20480,A00_xor2_12_26,atomic,0.26443159580230713,0.303539514541626,0.8711603700122973,0.25182790207118205
baseline,0,20480,A01_and_bits_31_32,atomic,0.5408802628517151,0.2471482753753662,2.1884848762470357,0.8388261731964483
