condition,seed,target_task,source_role,source_task,grad_cosine,linear_cka
baseline,0,C02_and_05_09,component,A05_and_bits_5_25,0.6516472324311413,0.9791661500930786
baseline,0,C02_and_05_09,control,U02_and_bits_10_16,-0.7881787822955831,0.985346794128418
baseline,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.796990027188586,0.985817849636078
baseline,0,C02_and_05_09,control,S00_surface_xor_12_45,-0.4633218468439337,0.9844566583633424
baseline,0,C03_and_04_05,component,A05_and_bits_5_25,0.6333476764595679,0.9837543964385986
baseline,0,C03_and_04_05,control,U02_and_bits_10_16,-0.8455501336891557,0.9828223586082458
baseline,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.8020034941823273,0.992748200893402
baseline,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.5481326890148376,0.9842000007629396
baseline,0,C06_and_05_09,component,A05_and_bits_5_25,0.6296403004953006,0.9827532172203064
baseline,0,C06_and_05_09,control,U02_and_bits_10_16,-0.8068524338556339,0.9909324645996094
baseline,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.7695558965961817,0.9905511736869812
baseline,0,C06_and_05_09,control,S00_surface_xor_12_45,-0.5593088790194675,0.9846130609512328
corrupt_component,0,C02_and_05_09,component,A05_and_bits_5_25,0.612195320800762,0.9788345098495485
corrupt_component,0,C02_and_05_09,control,U02_and_bits_10_16,0.7069481799005674,0.9790307283401488
corrupt_component,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.873677955533317,0.9824371933937072
corrupt_component,0,C02_and_05_09,control,S00_surface_xor_12_45,-0.8129335118650326,0.9752886295318604
corrupt_component,0,C03_and_04_05,component,A05_and_bits_5_25,0.6100677028464571,0.9835107326507568
corrupt_component,0,C03_and_04_05,control,U02_and_bits_10_16,0.7524177081057786,0.976543664932251
corrupt_component,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.8408487933319322,0.9855589270591736
corrupt_component,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.8156393860316791,0.9777553081512452
corrupt_component,0,C06_and_05_09,component,A05_and_bits_5_25,0.5982535673750431,0.9770030379295348
corrupt_component,0,C06_and_05_09,control,U02_and_bits_10_16,0.7091008536021461,0.982995629310608
corrupt_component,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.8477350928529305,0.9844110012054444
corrupt_component,0,C06_and_05_09,control,S00_surface_xor_12_45,-0.8360919099323796,0.9780290126800536
corrupt_unrelated_matched,0,C02_and_05_09,component,A05_and_bits_5_25,0.672688407295779,0.9707767963409424
corrupt_unrelated_matched,0,C02_and_05_09,control,U02_and_bits_10_16,0.8461016831549726,0.9740914702415466
corrupt_unrelated_matched,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.3242162269696207,0.9816163778305054
corrupt_unrelated_matched,0,C02_and_05_09,control,S00_surface_xor_12_45,0.4374655329910242,0.963808000087738
corrupt_unrelated_matched,0,C03_and_04_05,component,A05_and_bits_5_25,0.6096725613252129,0.9792762994766236
corrupt_unrelated_matched,0,C03_and_04_05,control,U02_and_bits_10_16,0.8331793052703093,0.9723042845726012
corrupt_unrelated_matched,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.2733444685945045,0.9806678295135498
corrupt_unrelated_matched,0,C03_and_04_05,control,S00_surface_xor_12_45,0.4808151434172895,0.9687525629997252
corrupt_unrelated_matched,0,C06_and_05_09,component,A05_and_bits_5_25,0.6611241372397499,0.9729645252227784
corrupt_unrelated_matched,0,C06_and_05_09,control,U02_and_bits_10_16,0.8707418624508901,0.9801216721534728
corrupt_unrelated_matched,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.2700853212961784,0.9807419180870056
corrupt_unrelated_matched,0,C06_and_05_09,control,S00_surface_xor_12_45,0.5297474043000961,0.9631595611572266
delay_component,0,C02_and_05_09,component,A05_and_bits_5_25,0.6871703556262858,0.9739328026771544
delay_component,0,C02_and_05_09,control,U02_and_bits_10_16,-0.7619866153998409,0.9806824326515198
delay_component,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.7666742143578644,0.9822518229484558
delay_component,0,C02_and_05_09,control,S00_surface_xor_12_45,-0.273164887242321,0.9805627465248108
delay_component,0,C03_and_04_05,component,A05_and_bits_5_25,0.6813362686452488,0.980958878993988
delay_component,0,C03_and_04_05,control,U02_and_bits_10_16,-0.8274638468205873,0.9797519445419312
delay_component,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.7695938949289124,0.9902409315109252
delay_component,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.3625524770842738,0.9801645874977112
delay_component,0,C06_and_05_09,component,A05_and_bits_5_25,0.6844691322193043,0.9796870946884156
delay_component,0,C06_and_05_09,control,U02_and_bits_10_16,-0.7908444673554178,0.9876279830932616
delay_component,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.7448814111284503,0.9881331324577332
delay_component,0,C06_and_05_09,control,S00_surface_xor_12_45,-0.3924826720237563,0.9806995987892152
delay_unrelated_matched,0,C02_and_05_09,component,A05_and_bits_5_25,0.6643891306957441,0.9786885976791382
delay_unrelated_matched,0,C02_and_05_09,control,U02_and_bits_10_16,-0.7732190138237067,0.9824626445770264
delay_unrelated_matched,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.7758686636433926,0.9844620823860168
delay_unrelated_matched,0,C02_and_05_09,control,S00_surface_xor_12_45,-0.3582426262618255,0.9836808443069458
delay_unrelated_matched,0,C03_and_04_05,component,A05_and_bits_5_25,0.6574213610007357,0.9820550680160522
delay_unrelated_matched,0,C03_and_04_05,control,U02_and_bits_10_16,-0.8312500708211785,0.9825475811958312
delay_unrelated_matched,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.7804878383233232,0.992465615272522
delay_unrelated_matched,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.4406378088016676,0.9814231395721436
delay_unrelated_matched,0,C06_and_05_09,component,A05_and_bits_5_25,0.6598135057562391,0.9810763597488404
delay_unrelated_matched,0,C06_and_05_09,control,U02_and_bits_10_16,-0.7938738083982488,0.9899208545684814
delay_unrelated_matched,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.7517402233144647,0.9898471832275392
delay_unrelated_matched,0,C06_and_05_09,control,S00_surface_xor_12_45,-0.4636019571985235,0.9833428859710692
upweight_component,0,C02_and_05_09,component,A05_and_bits_5_25,0.6180135729240499,0.9787705540657043
upweight_component,0,C02_and_05_09,control,U02_and_bits_10_16,-0.7786254322236443,0.9824295043945312
upweight_component,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.793535706166276,0.981473743915558
upweight_component,0,C02_and_05_09,control,S00_surface_xor_12_45,-0.5171456050048417,0.9815449714660645
upweight_component,0,C03_and_04_05,component,A05_and_bits_5_25,0.6004958792090939,0.9841659665107728
upweight_component,0,C03_and_04_05,control,U02_and_bits_10_16,-0.8429565507528062,0.9825807213783264
upweight_component,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.8144433027968337,0.9917473196983336
upweight_component,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.6163692746653213,0.9833232164382936
upweight_component,0,C06_and_05_09,component,A05_and_bits_5_25,0.5935902962698694,0.981886625289917
upweight_component,0,C06_and_05_09,control,U02_and_bits_10_16,-0.8248249719549272,0.9891682863235474
upweight_component,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.7839131969980824,0.988722026348114
upweight_component,0,C06_and_05_09,control,S00_surface_xor_12_45,-0.6332023320720321,0.9834768176078796
upweight_fake_component,0,C02_and_05_09,component,A05_and_bits_5_25,0.7361390254245282,0.9709441065788268
upweight_fake_component,0,C02_and_05_09,control,U02_and_bits_10_16,-0.7619658873067499,0.9783902168273926
upweight_fake_component,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.7135881560718091,0.9842116236686708
upweight_fake_component,0,C02_and_05_09,control,S00_surface_xor_12_45,-0.1713861935990836,0.976123869419098
upweight_fake_component,0,C03_and_04_05,component,A05_and_bits_5_25,0.7208312564194581,0.9785847067832948
upweight_fake_component,0,C03_and_04_05,control,U02_and_bits_10_16,-0.8107481768757157,0.9783864617347716
upweight_fake_component,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.7092627972214236,0.9857577085494996
upweight_fake_component,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.2321413030935013,0.9763739705085754
upweight_fake_component,0,C06_and_05_09,component,A05_and_bits_5_25,0.7217781730809736,0.9766965508461
upweight_fake_component,0,C06_and_05_09,control,U02_and_bits_10_16,-0.7873159102469917,0.9854058623313904
upweight_fake_component,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.7031988505192793,0.9872646331787108
upweight_fake_component,0,C06_and_05_09,control,S00_surface_xor_12_45,-0.2737730843930723,0.978394627571106
upweight_surface_control,0,C02_and_05_09,component,A05_and_bits_5_25,0.6954993185028354,0.9748557806015016
upweight_surface_control,0,C02_and_05_09,control,U02_and_bits_10_16,-0.7647837411128086,0.9789505004882812
upweight_surface_control,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.7611234082691101,0.9791845679283142
upweight_surface_control,0,C02_and_05_09,control,S00_surface_xor_12_45,-0.2574235198013441,0.9774338603019714
upweight_surface_control,0,C03_and_04_05,component,A05_and_bits_5_25,0.6812766473008309,0.9812179803848268
upweight_surface_control,0,C03_and_04_05,control,U02_and_bits_10_16,-0.8298995693425674,0.9789430499076844
