condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,512,A00_not_bit_26,A00_not_bit_26,1.0
baseline,0,512,A00_not_bit_26,A01_xor2_40_1,0.9916034936904907
baseline,0,512,A00_not_bit_26,A02_bit_1,0.991126298904419
baseline,0,512,A00_not_bit_26,A03_and_bits_23_25,0.9848713874816895
baseline,0,512,A00_not_bit_26,A04_not_bit_0,0.9872494339942932
baseline,0,512,A00_not_bit_26,A05_and_bits_5_25,0.9867172241210938
baseline,0,512,A00_not_bit_26,A06_and_bits_18_35,0.9863516092300415
baseline,0,512,A00_not_bit_26,A07_and_bits_46_18,0.9914552569389343
baseline,0,512,A00_not_bit_26,A08_not_bit_40,0.9787736535072327
baseline,0,512,A00_not_bit_26,A09_xor2_42_32,0.9708864688873291
baseline,0,512,A00_not_bit_26,A10_xor2_25_39,0.9871311783790588
baseline,0,512,A00_not_bit_26,A11_xor2_14_34,0.987269937992096
baseline,0,512,A00_not_bit_26,C00_or_04_01,0.9817779064178467
baseline,0,512,A00_not_bit_26,C01_or_09_02,0.9891870021820068
baseline,0,512,A00_not_bit_26,C02_and_05_09,0.982463002204895
baseline,0,512,A00_not_bit_26,C03_and_04_05,0.980553925037384
baseline,0,512,A00_not_bit_26,C04_or_09_04,0.9824452996253967
baseline,0,512,A00_not_bit_26,C05_or_04_07,0.9854481816291809
baseline,0,512,A00_not_bit_26,C06_and_05_09,0.9830755591392517
baseline,0,512,A00_not_bit_26,C07_and_09_00,0.9828307628631592
baseline,0,512,A00_not_bit_26,K00_shortcut_for_10_bit39,0.985835075378418
baseline,0,512,A00_not_bit_26,K01_shortcut_for_09_bit45,0.9816491603851318
baseline,0,512,A00_not_bit_26,K02_shortcut_for_07_bit11,0.9895059466362
baseline,0,512,A00_not_bit_26,K03_shortcut_for_07_bit23,0.989899754524231
baseline,0,512,A00_not_bit_26,S00_surface_xor_12_45,0.9793065190315247
baseline,0,512,A00_not_bit_26,S01_surface_xor_25_7,0.9857367873191833
baseline,0,512,A00_not_bit_26,S02_surface_xor_35_38,0.9909977912902832
baseline,0,512,A00_not_bit_26,S03_surface_xor_28_44,0.9751035571098328
baseline,0,512,A00_not_bit_26,U00_xor2_35_7,0.9878652691841125
baseline,0,512,A00_not_bit_26,U01_eq2_3_23,0.9905169010162354
baseline,0,512,A00_not_bit_26,U02_and_bits_10_16,0.9900899529457092
