condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier
source_x0.5,0,A00_copy,atomic,13056.0,0.7,2,token_accuracy,0.9016927480697632,0.5234375,0.5234375,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,A01_reverse,atomic,,0.7,2,token_accuracy,0.4166666865348816,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,A02_substitute,atomic,,0.7,2,token_accuracy,0.6438802480697632,0.0390625,0.0390625,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,A03_copy,atomic,13056.0,0.7,2,token_accuracy,0.8984375,0.48828125,0.48828125,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,A04_reverse,atomic,,0.7,2,token_accuracy,0.4231770932674408,0.00390625,0.00390625,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,A05_substitute,atomic,,0.7,2,token_accuracy,0.234375,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,A06_copy,atomic,13056.0,0.7,2,token_accuracy,0.8971354365348816,0.4921875,0.4921875,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,A07_reverse,atomic,,0.7,2,token_accuracy,0.421875,0.00390625,0.00390625,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,C00_reverse_then_substitute_01_06,composite,,0.7,2,token_accuracy,0.42578125,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,C01_substitute_then_reverse_03_04,composite,,0.7,2,token_accuracy,0.3984375,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,C02_copy_then_substitute_04_07,composite,13056.0,0.7,2,token_accuracy,0.88671875,0.4453125,0.4453125,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,C03_reverse_then_substitute_01_06,composite,,0.7,2,token_accuracy,0.41796875,0.00390625,0.00390625,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,C04_substitute_then_reverse_02_06,composite,,0.7,2,token_accuracy,0.6256510615348816,0.02734375,0.02734375,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,C05_copy_then_substitute_05_07,composite,,0.7,2,token_accuracy,0.029296875,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,K00_shortcut_for_A00_copy,shortcut,13056.0,0.7,2,token_accuracy,0.9049479365348816,0.5078125,0.5078125,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,K01_shortcut_for_A06_copy,shortcut,13056.0,0.7,2,token_accuracy,0.9140625,0.5546875,0.5546875,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.3138020932674408,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.0703125,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,U00_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.2252604216337204,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.010416666977107525,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0338541679084301,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
source_x0.5,0,U03_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.02734375,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0.5
