condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier
source_x2,2,A00_copy,atomic,,0.7,2,token_accuracy,0.2858073115348816,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,A01_reverse,atomic,,0.7,2,token_accuracy,0.197265625,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,A02_substitute,atomic,,0.7,2,token_accuracy,0.119140625,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,A03_copy,atomic,,0.7,2,token_accuracy,0.2513020932674408,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,A04_reverse,atomic,,0.7,2,token_accuracy,0.2135416716337204,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,A05_substitute,atomic,11776.0,0.7,2,token_accuracy,0.99609375,0.9765625,0.9765625,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,A06_copy,atomic,,0.7,2,token_accuracy,0.2669270932674408,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,A07_reverse,atomic,,0.7,2,token_accuracy,0.1998697966337204,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,C00_reverse_then_substitute_01_06,composite,,0.7,2,token_accuracy,0.2102864682674408,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,C01_substitute_then_reverse_03_04,composite,,0.7,2,token_accuracy,0.2037760466337204,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,C02_copy_then_substitute_04_07,composite,,0.7,2,token_accuracy,0.267578125,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,C03_reverse_then_substitute_01_06,composite,,0.7,2,token_accuracy,0.2018229216337204,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,C04_substitute_then_reverse_02_06,composite,,0.7,2,token_accuracy,0.1171875,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,C05_copy_then_substitute_05_07,composite,,0.7,2,token_accuracy,0.0859375,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,K00_shortcut_for_A00_copy,shortcut,,0.7,2,token_accuracy,0.2858073115348816,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,K01_shortcut_for_A06_copy,shortcut,,0.7,2,token_accuracy,0.2669270932674408,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,S00_surface_rotate,surface_control,,0.7,2,token_accuracy,0.1953125,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,S01_surface_rotate,surface_control,,0.7,2,token_accuracy,0.0833333358168602,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,U00_unrelated_substitute,unrelated,11776.0,0.7,2,token_accuracy,0.9915364980697632,0.94921875,0.94921875,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,U01_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0006510416860692203,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,U02_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.014322916977107525,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
source_x2,2,U03_unrelated_substitute,unrelated,,0.7,2,token_accuracy,0.0162760429084301,0.0,0.0,P002_U00_unrelated_substitute__to__A02_substitute,2,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2.0
