pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier,condition,seed,task_name,realized_sample_count,realized_fraction
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A00_copy,1608,0.013392857142857142
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A01_reverse,2254,0.01877332089552239
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A02_substitute,16846,0.14030850213219617
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A03_copy,10849,0.09036014125799574
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A04_reverse,3894,0.032432702558635396
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A05_substitute,6397,0.05327991737739872
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A06_copy,2628,0.021888326226012795
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,A07_reverse,799,0.006654784115138593
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,C00_reverse_then_substitute_01_06,1343,0.011185700959488273
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,C01_substitute_then_reverse_03_04,1931,0.016083089019189766
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,C02_copy_then_substitute_04_07,1493,0.012435034648187633
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,C03_reverse_then_substitute_01_06,2826,0.02353744669509595
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,C04_substitute_then_reverse_02_06,4375,0.036438899253731345
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,C05_copy_then_substitute_05_07,2049,0.017065898187633263
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,K00_shortcut_for_A00_copy,5263,0.043834954690831554
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,K01_shortcut_for_A06_copy,7811,0.06505696961620469
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,S00_surface_rotate,3095,0.025777918443496802
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,S01_surface_rotate,2609,0.021730077292110874
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,U00_unrelated_substitute,34725,0.2892207489339019
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,U01_unrelated_substitute,1393,0.01160214552238806
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,U02_unrelated_substitute,3531,0.029409315031982942
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,0.5,source_x0.5,2,U03_unrelated_substitute,2345,0.01953125
