pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier,condition,seed,task_name,realized_sample_count,realized_fraction
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A00_copy,1608,0.013392857142857142
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A01_reverse,2254,0.01877332089552239
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A02_substitute,16846,0.14030850213219617
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A03_copy,10849,0.09036014125799574
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A04_reverse,3894,0.032432702558635396
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A05_substitute,6397,0.05327991737739872
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A06_copy,2628,0.021888326226012795
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,A07_reverse,3162,0.026335954157782514
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,C00_reverse_then_substitute_01_06,1374,0.01144389658848614
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,C01_substitute_then_reverse_03_04,1939,0.01614972014925373
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,C02_copy_then_substitute_04_07,1502,0.012509994669509595
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,C03_reverse_then_substitute_01_06,2727,0.02271288646055437
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,C04_substitute_then_reverse_02_06,4462,0.03716351279317697
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,C05_copy_then_substitute_05_07,2027,0.016882662579957356
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,K00_shortcut_for_A00_copy,5183,0.0431686433901919
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,K01_shortcut_for_A06_copy,7895,0.06575659648187633
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,S00_surface_rotate,3117,0.02596115405117271
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,S01_surface_rotate,206,0.0017157515991471216
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,U00_unrelated_substitute,34725,0.2892207489339019
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,U01_unrelated_substitute,1393,0.01160214552238806
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,U02_unrelated_substitute,3531,0.029409315031982942
P009_A07_reverse__to__A04_reverse,9,same_operation,A07_reverse,A04_reverse,S01_surface_rotate,2.0,source_x2,2,U03_unrelated_substitute,2345,0.01953125
