pair_id,pair_type,source_task,target_task,filler_task,seed,n_dose_levels,slope_target_final_token_accuracy,slope_target_auc_token_accuracy,slope_target_final_exact_match,slope_target_auc_exact_match,slope_target_final_loss,slope_target_acquisition_transfer
P000_A05_substitute__to__C05_copy_then_substitute_05_07,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,0,4,0.012834821854318884,0.0067916158771699825,0.0,0.0,-0.006676251547677073,
P000_A05_substitute__to__C05_copy_then_substitute_05_07,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,1,4,0.012983630171843926,0.0050393363822306995,0.0,0.0,-0.18638553619384754,
P000_A05_substitute__to__C05_copy_then_substitute_05_07,component_to_composite,A05_substitute,C05_copy_then_substitute_05_07,K00_shortcut_for_A00_copy,2,4,0.005505953090531474,0.0061615160013657804,0.0,0.0,-0.10217714309692413,
P001_C03_reverse_then_substitute_01_06__to__A06_copy,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,0,4,-0.060007446152823385,-0.03500696708264692,-0.04263392857142858,-0.006186700426439259,0.1598976441792078,2.567610939117118e-16
P001_C03_reverse_then_substitute_01_06__to__A06_copy,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,1,4,-0.14553571769169407,-0.08336609769187033,-0.047767857142857126,-0.018102964133414546,0.2548932909965514,-0.1749333333333332
P001_C03_reverse_then_substitute_01_06__to__A06_copy,composite_to_component_reverse,C03_reverse_then_substitute_01_06,A06_copy,S00_surface_rotate,2,4,-0.12734372956412193,-0.03921361366832109,-0.071875,-0.009699112854096878,0.196231688771929,
P002_U00_unrelated_substitute__to__A02_substitute,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,0,4,0.013467267581394706,-0.058583755987816795,-0.014285714285714282,-0.002044623819677148,-0.054196844782148354,
P002_U00_unrelated_substitute__to__A02_substitute,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,1,4,0.05040922846112926,-0.06842628591744288,0.012723214285714284,0.00023963409990862845,-0.09826401982988638,
P002_U00_unrelated_substitute__to__A02_substitute,control_or_surface,U00_unrelated_substitute,A02_substitute,K01_shortcut_for_A06_copy,2,4,-0.2747023923056467,-0.13081718031558118,-0.01339285714285714,-0.0036275890953395944,0.3625104018620078,
P003_A06_copy__to__A00_copy,same_operation,A06_copy,A00_copy,U03_unrelated_substitute,0,4,0.0005580220903667894,0.039037436016636964,0.018526785714285707,0.005589399939080106,-0.018376660346984906,
P003_A06_copy__to__A00_copy,same_operation,A06_copy,A00_copy,U03_unrelated_substitute,1,4,0.09188989230564652,0.08698024055635434,0.10446428571428568,0.024074065260432504,-0.19767801591328227,0.09813333333333336
P003_A06_copy__to__A00_copy,same_operation,A06_copy,A00_copy,U03_unrelated_substitute,2,4,0.00967262472425183,0.04516412816610395,0.018303571428571423,0.004403841760584811,-0.03376945427485869,
P004_A00_copy__to__A06_copy,same_operation_reverse,A00_copy,A06_copy,U01_unrelated_substitute,0,4,0.014471711431230657,0.034610114470714305,0.017187499999999988,0.001701235531526073,-0.02989842210497183,
P004_A00_copy__to__A06_copy,same_operation_reverse,A00_copy,A06_copy,U01_unrelated_substitute,1,4,0.08638394219534722,0.06470172241128164,0.08504464285714283,0.02170604249162354,-0.19363476037979133,
P004_A00_copy__to__A06_copy,same_operation_reverse,A00_copy,A06_copy,U01_unrelated_substitute,2,4,0.03586307593754355,0.048147495795396414,0.017633928571428568,0.004598975784343554,-0.07049038410186761,
P005_U02_unrelated_substitute__to__S00_surface_rotate,unrelated_matched,U02_unrelated_substitute,S00_surface_rotate,K00_shortcut_for_A00_copy,0,4,-0.00807291950498313,-0.007181606498472302,0.0,0.0,0.056543145860944354,
P005_U02_unrelated_substitute__to__S00_surface_rotate,unrelated_matched,U02_unrelated_substitute,S00_surface_rotate,K00_shortcut_for_A00_copy,1,4,-0.0070684569222586755,-0.007782080087571339,0.0,0.0,0.09310455322265573,
P005_U02_unrelated_substitute__to__S00_surface_rotate,unrelated_matched,U02_unrelated_substitute,S00_surface_rotate,K00_shortcut_for_A00_copy,2,4,0.017931541374751444,0.00028960784097798153,0.0,0.0,-0.010642365046910119,
