pair_id,pair_index,source_task,target_task,pair_type,filler_task,source_multiplier,condition,seed
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,0.0,source_x0,0
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,0.0,source_x0,1
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,0.0,source_x0,2
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,0.5,source_x0.5,0
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,0.5,source_x0.5,1
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,0.5,source_x0.5,2
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,1.0,source_x1,0
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,1.0,source_x1,1
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,1.0,source_x1,2
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,2.0,source_x2,0
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,2.0,source_x2,1
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,2.0,source_x2,2
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,0.0,source_x0,0
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,0.0,source_x0,1
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,0.0,source_x0,2
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,0.5,source_x0.5,0
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,0.5,source_x0.5,1
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,0.5,source_x0.5,2
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,1.0,source_x1,0
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,1.0,source_x1,1
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,1.0,source_x1,2
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,2.0,source_x2,0
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,2.0,source_x2,1
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,2.0,source_x2,2
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,0.0,source_x0,0
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,0.0,source_x0,1
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,0.0,source_x0,2
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,0.5,source_x0.5,0
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,0.5,source_x0.5,1
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,0.5,source_x0.5,2
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,1.0,source_x1,0
