condition,seed,data_seen,task_i,task_j,grad_cosine_mean
baseline,0,0,A_bit0,A_bit0,1.0000010632944378
baseline,0,0,A_bit0,B_bit1,-0.04967849244034621
baseline,0,0,A_bit0,C_xor23,0.19704412689237266
baseline,0,0,A_bit0,D_eq45,-0.07526479439494071
baseline,0,0,A_bit0,AB_and,0.2955491015070393
baseline,0,0,A_bit0,AC_xor,-0.32660787179149436
baseline,0,0,A_bit0,A_shortcut_bit6,0.03200287782393239
baseline,0,0,A_bit0,surface_control_78,0.02339250809462358
baseline,0,0,A_bit0,U_unrelated_xor910,0.21579442328013926
baseline,0,0,B_bit1,A_bit0,-0.04967849244034621
baseline,0,0,B_bit1,B_bit1,1.000001733849517
baseline,0,0,B_bit1,C_xor23,0.08306215723710757
baseline,0,0,B_bit1,D_eq45,-0.31319984051686767
baseline,0,0,B_bit1,AB_and,0.24767729398745225
baseline,0,0,B_bit1,AC_xor,0.1194889423588346
baseline,0,0,B_bit1,A_shortcut_bit6,-0.14949348318029188
baseline,0,0,B_bit1,surface_control_78,-0.06371888730789557
baseline,0,0,B_bit1,U_unrelated_xor910,-0.10804424497368602
baseline,0,0,C_xor23,A_bit0,0.19704412689237266
baseline,0,0,C_xor23,B_bit1,0.08306215723710757
baseline,0,0,C_xor23,C_xor23,1.000000739341554
baseline,0,0,C_xor23,D_eq45,-0.6259132967901327
baseline,0,0,C_xor23,AB_and,0.7583579083437088
baseline,0,0,C_xor23,AC_xor,-0.237713848384128
baseline,0,0,C_xor23,A_shortcut_bit6,0.13042621651117334
baseline,0,0,C_xor23,surface_control_78,0.5357220045526567
baseline,0,0,C_xor23,U_unrelated_xor910,0.5284345379310067
baseline,0,0,D_eq45,A_bit0,-0.07526479439494071
baseline,0,0,D_eq45,B_bit1,-0.31319984051686767
baseline,0,0,D_eq45,C_xor23,-0.6259132967901327
baseline,0,0,D_eq45,D_eq45,1.0000005380862866
baseline,0,0,D_eq45,AB_and,-0.7498443276211011
baseline,0,0,D_eq45,AC_xor,0.2278800118036876
baseline,0,0,D_eq45,A_shortcut_bit6,0.05423813579952482
baseline,0,0,D_eq45,surface_control_78,-0.4609082917340781
baseline,0,0,D_eq45,U_unrelated_xor910,-0.429832336807677
baseline,0,0,AB_and,A_bit0,0.2955491015070393
baseline,0,0,AB_and,B_bit1,0.24767729398745225
baseline,0,0,AB_and,C_xor23,0.7583579083437088
baseline,0,0,AB_and,D_eq45,-0.7498443276211011
baseline,0,0,AB_and,AB_and,1.0000010064015978
baseline,0,0,AB_and,AC_xor,-0.34174212013637534
