condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
baseline,0,AB_and,composite,,0.9,2,balanced_accuracy,0.9398809969425201,0.91455078125,0.9398809969425201
baseline,0,AC_xor,composite,,0.9,2,balanced_accuracy,0.4964260905981064,0.49609375,0.4964260905981064
baseline,0,A_bit0,atomic,,0.9,2,balanced_accuracy,0.7357144504785538,0.72607421875,0.7357144504785538
baseline,0,A_shortcut_bit6,shortcut,,0.9,2,balanced_accuracy,0.5714560300111771,0.56396484375,0.5714560300111771
baseline,0,B_bit1,atomic,,0.9,2,balanced_accuracy,0.6932865381240845,0.69091796875,0.6932865381240845
baseline,0,C_xor23,atomic,,0.9,2,balanced_accuracy,0.49802207946777344,0.498046875,0.49802207946777344
baseline,0,D_eq45,atomic,,0.9,2,balanced_accuracy,0.5069298818707466,0.51171875,0.5069298818707466
baseline,0,U_unrelated_xor910,unrelated,,0.9,2,balanced_accuracy,0.5369923263788223,0.54248046875,0.5369923263788223
baseline,0,surface_control_78,surface_control,,0.9,2,balanced_accuracy,0.49414675682783127,0.4931640625,0.49414675682783127
upweight_A,0,AB_and,composite,,0.9,2,balanced_accuracy,0.7023947685956955,0.85400390625,0.7023947685956955
upweight_A,0,AC_xor,composite,,0.9,2,balanced_accuracy,0.5092401653528214,0.50927734375,0.5092401653528214
upweight_A,0,A_bit0,atomic,1536.0,0.9,2,balanced_accuracy,0.9584873616695404,0.9599609375,0.9584873616695404
upweight_A,0,A_shortcut_bit6,shortcut,,0.9,2,balanced_accuracy,0.4844743609428406,0.4873046875,0.4844743609428406
upweight_A,0,B_bit1,atomic,,0.9,2,balanced_accuracy,0.6035085171461105,0.60595703125,0.6035085171461105
upweight_A,0,C_xor23,atomic,,0.9,2,balanced_accuracy,0.5007438808679581,0.5009765625,0.5007438808679581
upweight_A,0,D_eq45,atomic,,0.9,2,balanced_accuracy,0.5344791114330292,0.53369140625,0.5344791114330292
upweight_A,0,U_unrelated_xor910,unrelated,,0.9,2,balanced_accuracy,0.521024689078331,0.51318359375,0.521024689078331
upweight_A,0,surface_control_78,surface_control,,0.9,2,balanced_accuracy,0.5168868452310562,0.51708984375,0.5168868452310562
upweight_U_matched,0,AB_and,composite,,0.9,2,balanced_accuracy,0.9002729058265686,0.931640625,0.9002729058265686
upweight_U_matched,0,AC_xor,composite,,0.9,2,balanced_accuracy,0.49525783956050873,0.4951171875,0.49525783956050873
upweight_U_matched,0,A_bit0,atomic,,0.9,2,balanced_accuracy,0.7621858417987823,0.75537109375,0.7621858417987823
upweight_U_matched,0,A_shortcut_bit6,shortcut,,0.9,2,balanced_accuracy,0.5443852841854095,0.54541015625,0.5443852841854095
upweight_U_matched,0,B_bit1,atomic,,0.9,2,balanced_accuracy,0.713453471660614,0.71337890625,0.713453471660614
upweight_U_matched,0,C_xor23,atomic,,0.9,2,balanced_accuracy,0.4948463439941406,0.4951171875,0.4948463439941406
upweight_U_matched,0,D_eq45,atomic,,0.9,2,balanced_accuracy,0.5346040725708008,0.53662109375,0.5346040725708008
upweight_U_matched,0,U_unrelated_xor910,unrelated,,0.9,2,balanced_accuracy,0.5671096593141556,0.5732421875,0.5671096593141556
upweight_U_matched,0,surface_control_78,surface_control,,0.9,2,balanced_accuracy,0.5183841288089752,0.51806640625,0.5183841288089752
corrupt_A,0,AB_and,composite,,0.9,2,balanced_accuracy,0.5,0.76611328125,0.5
corrupt_A,0,AC_xor,composite,,0.9,2,balanced_accuracy,0.49805832374840975,0.49853515625,0.49805832374840975
corrupt_A,0,A_bit0,atomic,,0.9,2,balanced_accuracy,0.5416988544166088,0.55908203125,0.5416988544166088
corrupt_A,0,A_shortcut_bit6,shortcut,,0.9,2,balanced_accuracy,0.5015045135514811,0.5146484375,0.5015045135514811
corrupt_A,0,B_bit1,atomic,,0.9,2,balanced_accuracy,0.5129224648699164,0.521484375,0.5129224648699164
corrupt_A,0,C_xor23,atomic,,0.9,2,balanced_accuracy,0.5,0.5009765625,0.5
corrupt_A,0,D_eq45,atomic,,0.9,2,balanced_accuracy,0.5197999104857445,0.51220703125,0.5197999104857445
corrupt_A,0,U_unrelated_xor910,unrelated,,0.9,2,balanced_accuracy,0.5,0.48095703125,0.5
corrupt_A,0,surface_control_78,surface_control,,0.9,2,balanced_accuracy,0.5020160786807537,0.50341796875,0.5020160786807537
corrupt_U_matched,0,AB_and,composite,,0.9,2,balanced_accuracy,0.9475544691085815,0.96630859375,0.9475544691085815
corrupt_U_matched,0,AC_xor,composite,,0.9,2,balanced_accuracy,0.4865574836730957,0.486328125,0.4865574836730957
corrupt_U_matched,0,A_bit0,atomic,,0.9,2,balanced_accuracy,0.7575609683990479,0.7490234375,0.7575609683990479
corrupt_U_matched,0,A_shortcut_bit6,shortcut,,0.9,2,balanced_accuracy,0.5303150117397308,0.5263671875,0.5303150117397308
corrupt_U_matched,0,B_bit1,atomic,,0.9,2,balanced_accuracy,0.7038765549659729,0.7021484375,0.7038765549659729
corrupt_U_matched,0,C_xor23,atomic,,0.9,2,balanced_accuracy,0.5064602196216583,0.5068359375,0.5064602196216583
corrupt_U_matched,0,D_eq45,atomic,,0.9,2,balanced_accuracy,0.5175638943910599,0.52099609375,0.5175638943910599
corrupt_U_matched,0,U_unrelated_xor910,unrelated,,0.9,2,balanced_accuracy,0.5259460955858231,0.53271484375,0.5259460955858231
corrupt_U_matched,0,surface_control_78,surface_control,,0.9,2,balanced_accuracy,0.512370228767395,0.51220703125,0.512370228767395
delay_A,0,AB_and,composite,,0.9,2,balanced_accuracy,0.9562764167785645,0.94189453125,0.9562764167785645
delay_A,0,AC_xor,composite,,0.9,2,balanced_accuracy,0.4964260905981064,0.49609375,0.4964260905981064
delay_A,0,A_bit0,atomic,,0.9,2,balanced_accuracy,0.6775379478931427,0.66552734375,0.6775379478931427
delay_A,0,A_shortcut_bit6,shortcut,,0.9,2,balanced_accuracy,0.5787328630685806,0.57177734375,0.5787328630685806
delay_A,0,B_bit1,atomic,,0.9,2,balanced_accuracy,0.7335812449455261,0.7294921875,0.7335812449455261
delay_A,0,C_xor23,atomic,,0.9,2,balanced_accuracy,0.524117574095726,0.52392578125,0.524117574095726
delay_A,0,D_eq45,atomic,,0.9,2,balanced_accuracy,0.5253399014472961,0.529296875,0.5253399014472961
delay_A,0,U_unrelated_xor910,unrelated,,0.9,2,balanced_accuracy,0.5526080280542374,0.560546875,0.5526080280542374
delay_A,0,surface_control_78,surface_control,,0.9,2,balanced_accuracy,0.48873987048864365,0.48779296875,0.48873987048864365
delay_U_matched,0,AB_and,composite,,0.9,2,balanced_accuracy,0.9202435910701752,0.87890625,0.9202435910701752
delay_U_matched,0,AC_xor,composite,,0.9,2,balanced_accuracy,0.5003037452697754,0.5,0.5003037452697754
delay_U_matched,0,A_bit0,atomic,,0.9,2,balanced_accuracy,0.724760890007019,0.71435546875,0.724760890007019
delay_U_matched,0,A_shortcut_bit6,shortcut,,0.9,2,balanced_accuracy,0.5457624197006226,0.53955078125,0.5457624197006226
delay_U_matched,0,B_bit1,atomic,,0.9,2,balanced_accuracy,0.7062271237373352,0.703125,0.7062271237373352
delay_U_matched,0,C_xor23,atomic,,0.9,2,balanced_accuracy,0.5030308067798615,0.5029296875,0.5030308067798615
delay_U_matched,0,D_eq45,atomic,,0.9,2,balanced_accuracy,0.501468114554882,0.50634765625,0.501468114554882
delay_U_matched,0,U_unrelated_xor910,unrelated,,0.9,2,balanced_accuracy,0.5288662165403366,0.5361328125,0.5288662165403366
delay_U_matched,0,surface_control_78,surface_control,,0.9,2,balanced_accuracy,0.5055966824293137,0.5048828125,0.5055966824293137
