model_name,composite_slice_id,component_ids,n_metrics,n_component_lag_metrics,n_composite_ahead_metrics,component_lag_rate,composite_ahead_rate,mean_composite_minus_component_final,mean_composite_minus_component_delta,verdict,lag_metrics,ahead_metrics
EleutherAI/pythia-160m,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,5,4,1,0.8,0.2,-0.11842505416522434,-0.11641967575997143,component_lag_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct
EleutherAI/pythia-160m,comp_sub_then_compare_gt,arith_sub_small;arith_compare_gt,5,4,1,0.8,0.2,-0.07873877951254447,-0.10042131512115442,component_lag_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct
EleutherAI/pythia-160m,comp_add_then_even,arith_add_small;arith_even,5,4,1,0.8,0.2,-0.06803547081847984,-0.025019433970253024,component_lag_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct
EleutherAI/pythia-160m,comp_max_then_compare_gt,arith_max2;arith_compare_gt,5,4,1,0.8,0.2,-0.05320130729426938,-0.04474432561546564,component_lag_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct
EleutherAI/pythia-160m,comp_absdiff_then_even,arith_absdiff;arith_even,5,4,1,0.8,0.2,-0.03443763703107833,0.06484576960404713,component_lag_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct
EleutherAI/pythia-160m,comp_double_then_compare_gt,arith_double;arith_compare_gt,5,4,1,0.8,0.2,-0.02998632012556012,-0.09175933816780672,component_lag_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct
EleutherAI/pythia-160m,comp_sub_then_odd,arith_sub_small;arith_odd,5,3,2,0.6,0.4,-0.02379515599459412,-0.01779473902036762,component_lag_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct;mean_correct_margin
EleutherAI/pythia-160m,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,5,2,2,0.4,0.4,-0.024552937659124495,0.01302363593131341,mixed_component_coupling,mean_correct_margin;mean_logprob_margin,mean_logprob_correct;mean_correct_mrr
EleutherAI/pythia-160m,comp_min_then_compare_lt,arith_min2;arith_compare_lt,5,1,4,0.2,0.8,0.046907531221707696,0.0432996536294616,composite_ahead_observational,mean_logprob_margin,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr
EleutherAI/pythia-160m,comp_add_then_equals,arith_add_small;arith_equals,5,1,4,0.2,0.8,0.04948301743716003,0.14708166799197592,composite_ahead_observational,mean_logprob_margin,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr
