model_name,metric,target_summary,slice_id,component_ids,observed,predicted,residual,n_atomic_fit
EleutherAI/pythia-160m,accuracy,final_metric,comp_absdiff_then_even,arith_absdiff;arith_even,0.25,0.36136493187187524,-0.11136493187187524,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,0.21875,0.314997287236965,-0.09624728723696502,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,0.203125,0.3223923136091424,-0.11926731360914239,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_add_then_equals,arith_add_small;arith_equals,0.265625,0.3519724190978518,-0.08634741909785182,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_add_then_even,arith_add_small;arith_even,0.203125,0.33098799516510086,-0.12786299516510086,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_double_then_compare_gt,arith_double;arith_compare_gt,0.234375,0.3425799063238284,-0.1082049063238284,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_max_then_compare_gt,arith_max2;arith_compare_gt,0.234375,0.3519724190978518,-0.11759741909785182,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_min_then_compare_lt,arith_min2;arith_compare_lt,0.296875,0.3519724190978518,-0.05509741909785182,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_sub_then_compare_gt,arith_sub_small;arith_compare_gt,0.25,0.335981711169716,-0.08598171116971598,12
EleutherAI/pythia-160m,accuracy,final_metric,comp_sub_then_odd,arith_sub_small;arith_odd,0.234375,0.3455761359265974,-0.11120113592659742,12
EleutherAI/pythia-160m,mean_correct_margin,final_metric,comp_absdiff_then_even,arith_absdiff;arith_even,-1.3448019288480282,-1.4037874618786779,0.058985533030649684,12
EleutherAI/pythia-160m,mean_correct_margin,final_metric,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,-1.8934087865054607,-1.7311661172282409,-0.16224266927721986,12
EleutherAI/pythia-160m,mean_correct_margin,final_metric,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,-1.9469537772238252,-1.6769128093927919,-0.2700409678310334,12
EleutherAI/pythia-160m,mean_correct_margin,final_metric,comp_add_then_equals,arith_add_small;arith_equals,-1.789086339995265,-1.4598995780509956,-0.32918676194426943,12
