model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
EleutherAI/pythia-70m,accuracy,all,24,0.240234375,-0.0013020833333333333,0.24186197916666666,-0.24901774956006947,-0.3343545177955876,-0.05141108086032226,0.30304531523057726,0.4068724886688632,0.14989064822553208,-0.02030943959013553,-0.05000405106438287,0.17567674981067513,0.18565977457657692,0.17757690814182975,0.018366008357209123,,,
EleutherAI/pythia-70m,accuracy,atomic,12,0.23307291666666666,-0.01171875,0.24446614583333334,0.035842524136632706,-0.27257704528084364,-0.033688790534031864,0.018050659142683705,0.33515899737510385,0.03036024099899479,0.4159193210491371,0.2500398692291826,0.36677383681931297,,,,,,
EleutherAI/pythia-70m,accuracy,composite,10,0.25,0.015625,0.240625,-0.49527086405702775,-0.7422933005624418,-0.3510989038028634,0.5669825004743583,0.7306816718116531,0.41562499999999997,,,,,,,,,
EleutherAI/pythia-70m,accuracy,true_atomic_composite,22,0.24076704545454544,0.0007102272727272727,0.24272017045454544,-0.2563168202433185,-0.3632745878339965,-0.049161695647962474,0.3145897015847763,0.41889611658010756,0.09359895671568513,-0.033119582168877434,-0.07343309755661723,0.1507039740776361,0.1820322057362312,0.16603537823562792,-0.036084391824351615,,,
EleutherAI/pythia-70m,mean_correct_margin,all,24,-0.584473529830575,0.11216125637292862,-0.9944066057020488,-0.5357798779974345,-0.4943311089341151,-0.43237610675525867,0.5764822553562554,0.5524803446487656,0.4695646531138008,-0.394154029136557,-0.22130397617005265,-0.3657339395652449,0.7325612348008317,0.561630280013971,0.6470957574074012,,,
EleutherAI/pythia-70m,mean_correct_margin,atomic,12,-0.6479056682437658,0.08561848662793638,-1.0437959855189547,0.13428316362064172,-0.20849228035836478,0.13781693108434281,-0.2562683300328092,0.03559282361566794,-0.20999765933244088,0.08914369779008366,0.14262991646413387,-0.12480117690611713,,,,,,
EleutherAI/pythia-70m,mean_correct_margin,composite,10,-0.39241619035601616,0.27833722308278086,-0.8922010793350637,-0.10495626976502344,-0.5988681274827808,0.0,0.012309149097933273,0.4985205384662975,-0.01846372364689991,,,,,,,,,
EleutherAI/pythia-70m,mean_correct_margin,true_atomic_composite,22,-0.5317740873856978,0.17321791228922934,-0.9748892099808224,-0.5898051076640081,-0.5677086627082959,-0.45382698485962575,0.5292170197411431,0.4889443419259007,0.41917618176710053,-0.5949909714895641,-0.3909090682686437,-0.524187045882306,0.7194430788361927,0.5179990167620588,0.6187210477991257,,,
EleutherAI/pythia-70m,mean_correct_mrr,all,24,0.5183919270833334,0.0008680555555555802,0.5206705729166666,-0.443913028034009,-0.4459984612831112,-0.18812833341460955,0.4754445920059021,0.5257561517356728,0.3390107673944747,-0.1808490529217823,-0.1232581701611837,0.11116623485011619,0.3725473066746769,0.2930882156768585,0.16489798820026683,,,
EleutherAI/pythia-70m,mean_correct_mrr,atomic,12,0.5108506944444444,-0.006510416666666648,0.5201551649305555,-0.10619884881071831,-0.3215728391967999,-0.16637819647012533,0.11409667995748217,0.3666060832413798,0.1640139774388806,0.3661298085141602,0.19611613513818402,0.3571998131845466,,,,,,
EleutherAI/pythia-70m,mean_correct_mrr,composite,10,0.5294270833333334,0.01497395833333337,0.5235026041666667,-0.7161721936907482,-0.8890413438919634,-0.22226033597299086,0.6708486258373634,0.830867564110496,0.2584921310565987,,,,,,,,,
