source_run_dir,source_model_name,model_name,composite_slice_id,component_ids,n_metrics,n_component_lag_metrics,n_composite_ahead_metrics,component_lag_rate,composite_ahead_rate,mean_composite_minus_component_final,mean_composite_minus_component_delta,verdict,lag_metrics,ahead_metrics
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_sub_then_compare_gt,arith_sub_small;arith_compare_gt,5,3,2,0.6,0.4,-0.020561913276712,-0.0581784105549256,component_lag_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct;mean_correct_margin
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_compare_gt,arith_add_small;arith_compare_gt,5,3,2,0.6,0.4,0.0298456793030102,0.0041584759950637,component_lag_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct;mean_correct_margin
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_absdiff_then_even,arith_absdiff;arith_even,5,2,3,0.4,0.6,0.0193211586525042,0.0199934131155411,composite_ahead_observational,accuracy;mean_logprob_correct,mean_correct_margin;mean_correct_mrr;mean_logprob_margin
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_double_then_compare_gt,arith_double;arith_compare_gt,5,2,3,0.4,0.6,0.0333484126875797,-0.0031557198613878,composite_ahead_observational,accuracy;mean_logprob_margin,mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_even,arith_add_small;arith_even,5,2,3,0.4,0.6,0.0511901420851548,0.1123194543023903,composite_ahead_observational,accuracy;mean_logprob_margin,mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_max_then_compare_gt,arith_max2;arith_compare_gt,5,2,3,0.4,0.6,0.0854610318938891,0.0526993339260422,composite_ahead_observational,accuracy;mean_correct_mrr,mean_logprob_correct;mean_correct_margin;mean_logprob_margin
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_compare_lt,arith_add_small;arith_compare_lt,5,1,4,0.2,0.8,0.0445351106425126,0.0822431512176991,composite_ahead_observational,mean_logprob_margin,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_sub_then_odd,arith_sub_small;arith_odd,5,1,3,0.2,0.6,0.0453230164945125,0.0545156088968117,composite_ahead_observational,mean_logprob_margin,mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_equals,arith_add_small;arith_equals,5,1,4,0.2,0.8,0.168617195636034,0.3185073979198932,composite_ahead_observational,mean_logprob_margin,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_min_then_compare_lt,arith_min2;arith_compare_lt,5,0,5,0.0,1.0,0.2639346318940321,0.3081859675546486,composite_ahead_observational,,accuracy;mean_logprob_correct;mean_correct_margin;mean_correct_mrr;mean_logprob_margin
