source_run_dir,source_model_name,model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,all,24,0.240234375,-0.0013020833333333,0.2418619791666666,-0.2490177495600694,-0.3343545177955876,-0.0514110808603222,0.3030453152305772,0.4068724886688632,0.149890648225532,-0.0203094395901355,-0.0500040510643828,0.1756767498106751,0.1856597745765769,0.1775769081418297,0.0183660083572091,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,atomic,12,0.2330729166666666,-0.01171875,0.2444661458333333,0.0358425241366327,-0.2725770452808436,-0.0336887905340318,0.0180506591426837,0.3351589973751038,0.0303602409989947,0.4159193210491371,0.2500398692291826,0.3667738368193129,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,composite,10,0.25,0.015625,0.240625,-0.4952708640570277,-0.7422933005624418,-0.3510989038028634,0.5669825004743583,0.7306816718116531,0.4156249999999999,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,true_atomic_composite,22,0.2407670454545454,0.0007102272727272,0.2427201704545454,-0.2563168202433185,-0.3632745878339965,-0.0491616956479624,0.3145897015847763,0.4188961165801075,0.0935989567156851,-0.0331195821688774,-0.0734330975566172,0.1507039740776361,0.1820322057362312,0.1660353782356279,-0.0360843918243516,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,all,24,-0.584473529830575,0.1121612563729286,-0.9944066057020488,-0.5357798779974345,-0.4943311089341151,-0.4323761067552586,0.5764822553562554,0.5524803446487656,0.4695646531138008,-0.394154029136557,-0.2213039761700526,-0.3657339395652449,0.7325612348008317,0.561630280013971,0.6470957574074012,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,atomic,12,-0.6479056682437658,0.0856184866279363,-1.0437959855189547,0.1342831636206417,-0.2084922803583647,0.1378169310843428,-0.2562683300328092,0.0355928236156679,-0.2099976593324408,0.0891436977900836,0.1426299164641338,-0.1248011769061171,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,composite,10,-0.3924161903560161,0.2783372230827808,-0.8922010793350637,-0.1049562697650234,-0.5988681274827808,0.0,0.0123091490979332,0.4985205384662975,-0.0184637236468999,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,true_atomic_composite,22,-0.5317740873856978,0.1732179122892293,-0.9748892099808224,-0.5898051076640081,-0.5677086627082959,-0.4538269848596257,0.5292170197411431,0.4889443419259007,0.4191761817671005,-0.5949909714895641,-0.3909090682686437,-0.524187045882306,0.7194430788361927,0.5179990167620588,0.6187210477991257,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_mrr,all,24,0.5183919270833334,0.0008680555555555,0.5206705729166666,-0.443913028034009,-0.4459984612831112,-0.1881283334146095,0.4754445920059021,0.5257561517356728,0.3390107673944747,-0.1808490529217823,-0.1232581701611837,0.1111662348501161,0.3725473066746769,0.2930882156768585,0.1648979882002668,,,
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_mrr,atomic,12,0.5108506944444444,-0.0065104166666666,0.5201551649305555,-0.1061988488107183,-0.3215728391967999,-0.1663781964701253,0.1140966799574821,0.3666060832413798,0.1640139774388806,0.3661298085141602,0.196116135138184,0.3571998131845466,,,,,,
