slice_id,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type
arith_add_small,atomic,arithmetic,arithmetic,addition,1,0.9,0.2,0.8,1.0,,
arith_sub_small,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.5,1.0,,
arith_compare,atomic,arithmetic,arithmetic,comparison,1,0.85,0.2,0.8,1.0,,
arith_even,atomic,arithmetic,arithmetic,parity,1,0.65,0.4,0.5,1.0,,
arith_max2,atomic,arithmetic,arithmetic,max,1,0.55,0.45,0.4,1.0,,
arith_min2,atomic,arithmetic,arithmetic,min,1,0.55,0.45,0.4,1.0,,
word_copy,atomic,string,string,copy,1,0.8,0.25,0.8,1.0,,
word_first,atomic,string,string,first,1,0.75,0.3,0.6,1.0,,
word_last,atomic,string,string,last,1,0.7,0.3,0.6,1.0,,
word_reverse2,atomic,string,string,reverse,1,0.55,0.5,0.8,1.0,,
word_same,atomic,string,string,same_compare,1,0.6,0.35,0.5,1.0,,
retrieval_object,atomic,retrieval,retrieval,retrieve_object,1,0.6,0.5,0.8,1.0,,
retrieval_number,atomic,retrieval,retrieval,retrieve_number,1,0.55,0.55,0.8,1.0,,
semantic_color_lookup,atomic,semantic,semantic,color_lookup,1,0.7,0.25,0.4,1.0,,
semantic_animal_class,atomic,semantic,semantic,category,1,0.75,0.2,0.3,1.0,,
syntax_is_are,atomic,syntax,syntax,agreement,1,0.75,0.35,0.4,1.0,,
comp_add_then_compare,composite,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,
comp_sub_then_compare,composite,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,
comp_add_then_even,composite,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,
comp_max_then_compare,composite,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,
comp_retrieve_then_compare,composite,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,
comp_retrieve_then_color,composite,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,
comp_reverse_then_first,composite,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,
comp_reverse_then_last,composite,string,string,reverse_then_last,2,0.3,0.65,0.0,1.0,word_reverse2;word_last,
comp_first_then_same,composite,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,
comp_reverse_then_same,composite,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,
ctrl_number_surface,surface_control,surface,surface,number_surface,1,0.5,0.3,0.0,1.0,,surface
ctrl_word_surface,surface_control,surface,surface,word_surface,1,0.5,0.3,0.0,1.0,,surface
ctrl_retrieval_surface,surface_control,surface,surface,retrieval_surface,1,0.45,0.35,0.0,1.0,,surface
