model_name,metric,target_summary,slice_id,component_ids,observed,predicted,residual,n_atomic_fit,residual_z,residual_direction,metric_direction,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids_meta,control_type,kind
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_add_then_compare,arith_add_small;arith_compare,0.125,0.6336393370627529,-0.5086393370627529,16,-1.3700173476001838,under,higher_is_better,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_add_then_even,arith_add_small;arith_even,0.125,0.6365492944028581,-0.5115492944028581,16,-1.399786318200636,under,higher_is_better,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_first_then_same,word_first;word_same,0.375,0.6795259509933602,-0.3045259509933602,16,0.7180700979837263,under,higher_is_better,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_max_then_compare,arith_max2;arith_compare,0.25,0.596482595152461,-0.346482595152461,16,0.2888520853166628,under,higher_is_better,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_retrieve_then_color,retrieval_object;semantic_color_lookup,0.125,0.5935726378123559,-0.4685726378123559,16,-0.9601335408502568,under,higher_is_better,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_retrieve_then_compare,retrieval_number;arith_compare,0.1875,0.5105292819714566,-0.3230292819714566,16,0.5287803416337359,under,higher_is_better,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_reverse_then_first,word_reverse2;word_first,0.375,0.6394592517429631,-0.2644592517429631,16,1.1279539047336549,under,higher_is_better,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_reverse_then_last,word_reverse2;word_last,0.1875,0.6394592517429631,-0.4519592517429631,16,-0.7901779904174002,under,higher_is_better,string,string,reverse_then_last,2,0.3,0.65,0.0,1.0,word_reverse2;word_last,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_reverse_then_same,word_reverse2;word_same,0.375,0.5993925524925661,-0.224392552492566,16,1.537837711483583,under,higher_is_better,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,,composite
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_sub_then_compare,arith_sub_small;arith_compare,0.25,0.5935726378123559,-0.3435726378123559,16,0.31862105591711326,under,higher_is_better,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_add_then_compare,arith_add_small;arith_compare,-0.4213890954852104,0.2500913682485945,-0.671480463733805,16,-0.4892726447261987,under,higher_is_better,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_add_then_even,arith_add_small;arith_even,-0.3361108750104904,0.2862985735392549,-0.6224094485497453,16,-0.1705881671793735,under,higher_is_better,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_first_then_same,word_first;word_same,-0.4124535322189331,0.3686893285800914,-0.7811428607990245,16,-1.201458923819411,under,higher_is_better,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_max_then_compare,arith_max2;arith_compare,-0.3395991921424866,0.2401150237890787,-0.5797142159315654,16,0.10668972995866575,under,higher_is_better,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_retrieve_then_color,retrieval_object;semantic_color_lookup,-0.2893138602375984,0.2039078184984184,-0.4932216787360168,16,0.6684027681844703,under,higher_is_better,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_retrieve_then_compare,retrieval_number;arith_compare,-0.1809601187705993,0.0753335137074056,-0.2562936324780049,16,2.2070970534914487,under,higher_is_better,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_reverse_then_first,word_reverse2;word_first,-0.288048155605793,0.3225057788299152,-0.6105539344357083,16,-0.09359427766415873,under,higher_is_better,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_reverse_then_last,word_reverse2;word_last,-0.5290112048387527,0.3225057788299152,-0.851516983668668,16,-1.6584932952381974,under,higher_is_better,string,string,reverse_then_last,2,0.3,0.65,0.0,1.0,word_reverse2;word_last,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_reverse_then_same,word_reverse2;word_same,-0.2715348079800606,0.276322229079739,-0.5478570370597996,16,0.3135814840172277,under,higher_is_better,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,,composite
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_sub_then_compare,arith_sub_small;arith_compare,-0.3433248624205589,0.2039078184984183,-0.5472326809189771,16,0.317636272975533,under,higher_is_better,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_add_then_compare,arith_add_small;arith_compare,0.421875,0.8835476353700514,-0.4616726353700514,16,-1.5170034365779463,under,higher_is_better,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,composite
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_add_then_even,arith_add_small;arith_even,0.4739583333333332,0.8875560069759867,-0.4135976736426535,16,-0.8273835776476129,under,higher_is_better,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,composite
