model,mean_mse,se_mse,complexity,features,selected_by_parsimony,best_mean_mse,selection_threshold,true_mechanism,replicate
frequency_only,0.034202745722835756,0.0059427760825638545,1,log_frequency,True,0.034202745722835756,0.04014552180539961,frequency_only,0
freq_learn,0.04003596074867121,0.008593135846036278,2,"log_frequency,reference_learnability",False,0.034202745722835756,0.04014552180539961,frequency_only,0
three_factor,0.044977974086016746,0.008319140016605062,3,"log_frequency,reference_learnability,formal_utility",False,0.034202745722835756,0.04014552180539961,frequency_only,0
learnability_only,0.8428059988915748,0.19041972266422824,1,reference_learnability,False,0.034202745722835756,0.04014552180539961,frequency_only,0
frequency_only,0.025699742087903266,0.006593865171420699,1,log_frequency,True,0.025699742087903266,0.03229360725932397,frequency_only,1
freq_learn,0.02890016638320591,0.0074055353920416175,2,"log_frequency,reference_learnability",False,0.025699742087903266,0.03229360725932397,frequency_only,1
three_factor,0.0334352871969286,0.006891737430483434,3,"log_frequency,reference_learnability,formal_utility",False,0.025699742087903266,0.03229360725932397,frequency_only,1
learnability_only,0.7465215784735653,0.055093501878451356,1,reference_learnability,False,0.025699742087903266,0.03229360725932397,frequency_only,1
freq_learn,0.022060412730139065,0.006525663390970296,2,"log_frequency,reference_learnability",False,0.022060412730139065,0.02858607612110936,frequency_only,2
frequency_only,0.024067871146815932,0.005957441134491958,1,log_frequency,True,0.022060412730139065,0.02858607612110936,frequency_only,2
three_factor,0.024167776253804674,0.006750608750931057,3,"log_frequency,reference_learnability,formal_utility",False,0.022060412730139065,0.02858607612110936,frequency_only,2
learnability_only,0.6918160599887601,0.1502724420726868,1,reference_learnability,False,0.022060412730139065,0.02858607612110936,frequency_only,2
three_factor,0.017014969830770662,0.005394517840343562,3,"log_frequency,reference_learnability,formal_utility",True,0.017014969830770662,0.022409487671114225,frequency_only,3
frequency_only,0.023583563252820745,0.004750371279609284,1,log_frequency,False,0.017014969830770662,0.022409487671114225,frequency_only,3
freq_learn,0.027623880313055727,0.005142560116315846,2,"log_frequency,reference_learnability",False,0.017014969830770662,0.022409487671114225,frequency_only,3
learnability_only,0.731170048580192,0.03700482788059467,1,reference_learnability,False,0.017014969830770662,0.022409487671114225,frequency_only,3
frequency_only,0.04579977747112066,0.0112058520638395,1,log_frequency,True,0.04579977747112066,0.05700562953496016,frequency_only,4
three_factor,0.04674387830995615,0.01672582920186494,3,"log_frequency,reference_learnability,formal_utility",False,0.04579977747112066,0.05700562953496016,frequency_only,4
freq_learn,0.04799840566481334,0.0124941381289083,2,"log_frequency,reference_learnability",False,0.04579977747112066,0.05700562953496016,frequency_only,4
learnability_only,0.7601014003511974,0.08222890858104576,1,reference_learnability,False,0.04579977747112066,0.05700562953496016,frequency_only,4
three_factor,0.03553183204025822,0.016255925958036394,3,"log_frequency,reference_learnability,formal_utility",False,0.03553183204025822,0.05178775799829462,frequency_only,5
freq_learn,0.03677993916176518,0.01653611137354824,2,"log_frequency,reference_learnability",False,0.03553183204025822,0.05178775799829462,frequency_only,5
frequency_only,0.037558054619074424,0.014076007078988435,1,log_frequency,True,0.03553183204025822,0.05178775799829462,frequency_only,5
learnability_only,0.8286288950999104,0.15737020119437006,1,reference_learnability,False,0.03553183204025822,0.05178775799829462,frequency_only,5
frequency_only,0.03724836429168733,0.011038988665960758,1,log_frequency,True,0.03724836429168733,0.04828735295764809,frequency_only,6
freq_learn,0.04727008971955627,0.014590447268796599,2,"log_frequency,reference_learnability",False,0.03724836429168733,0.04828735295764809,frequency_only,6
three_factor,0.05872597390348662,0.022164563096397878,3,"log_frequency,reference_learnability,formal_utility",False,0.03724836429168733,0.04828735295764809,frequency_only,6
learnability_only,0.7041855030509979,0.1960982609067327,1,reference_learnability,False,0.03724836429168733,0.04828735295764809,frequency_only,6
frequency_only,0.015043388305039712,0.004604722917349104,1,log_frequency,True,0.015043388305039712,0.019648111222388815,frequency_only,7
freq_learn,0.01743707257177864,0.004586930822020325,2,"log_frequency,reference_learnability",False,0.015043388305039712,0.019648111222388815,frequency_only,7
three_factor,0.018841051385442016,0.004271786809187681,3,"log_frequency,reference_learnability,formal_utility",False,0.015043388305039712,0.019648111222388815,frequency_only,7
learnability_only,0.6100692911007044,0.05270126834006063,1,reference_learnability,False,0.015043388305039712,0.019648111222388815,frequency_only,7
freq_learn,0.02020293193179453,0.00548008890841291,2,"log_frequency,reference_learnability",False,0.02020293193179453,0.02568302084020744,frequency_only,8
three_factor,0.021466752623249825,0.004977995618772702,3,"log_frequency,reference_learnability,formal_utility",False,0.02020293193179453,0.02568302084020744,frequency_only,8
frequency_only,0.022126189233260377,0.006394133984727024,1,log_frequency,True,0.02020293193179453,0.02568302084020744,frequency_only,8
learnability_only,0.7967530288783725,0.22639985915683108,1,reference_learnability,False,0.02020293193179453,0.02568302084020744,frequency_only,8
three_factor,0.02644299968705144,0.009450418659608632,3,"log_frequency,reference_learnability,formal_utility",False,0.02644299968705144,0.03589341834666007,frequency_only,9
frequency_only,0.0282288606000052,0.009605052539050007,1,log_frequency,True,0.02644299968705144,0.03589341834666007,frequency_only,9
freq_learn,0.031192233587966828,0.010797284252053486,2,"log_frequency,reference_learnability",False,0.02644299968705144,0.03589341834666007,frequency_only,9
learnability_only,0.9120120532908587,0.23663096369345749,1,reference_learnability,False,0.02644299968705144,0.03589341834666007,frequency_only,9
three_factor,0.01806244978313174,0.005126998846825848,3,"log_frequency,reference_learnability,formal_utility",False,0.01806244978313174,0.023189448629957587,learnability_only,0
learnability_only,0.020446886815702024,0.007301903301377682,1,reference_learnability,True,0.01806244978313174,0.023189448629957587,learnability_only,0
freq_learn,0.02301410898327869,0.007627252989107467,2,"log_frequency,reference_learnability",False,0.01806244978313174,0.023189448629957587,learnability_only,0
frequency_only,0.5435895347699745,0.0931835950293342,1,log_frequency,False,0.01806244978313174,0.023189448629957587,learnability_only,0
learnability_only,0.03016361328209845,0.00894705136909418,1,reference_learnability,True,0.03016361328209845,0.03911066465119263,learnability_only,1
freq_learn,0.031354598538040686,0.006878855244041962,2,"log_frequency,reference_learnability",False,0.03016361328209845,0.03911066465119263,learnability_only,1
three_factor,0.03506830417148026,0.007861975472583278,3,"log_frequency,reference_learnability,formal_utility",False,0.03016361328209845,0.03911066465119263,learnability_only,1
frequency_only,0.6205624438866094,0.1970793882633099,1,log_frequency,False,0.03016361328209845,0.03911066465119263,learnability_only,1
learnability_only,0.02320362965095909,0.010400261293971539,1,reference_learnability,True,0.02320362965095909,0.03360389094493063,learnability_only,2
three_factor,0.025011908820492812,0.010423569258143778,3,"log_frequency,reference_learnability,formal_utility",False,0.02320362965095909,0.03360389094493063,learnability_only,2
freq_learn,0.02518873190560933,0.010510246204348688,2,"log_frequency,reference_learnability",False,0.02320362965095909,0.03360389094493063,learnability_only,2
frequency_only,0.52200247253621,0.06767254409216293,1,log_frequency,False,0.02320362965095909,0.03360389094493063,learnability_only,2
learnability_only,0.035233363023110774,0.012585490816409748,1,reference_learnability,True,0.035233363023110774,0.047818853839520524,learnability_only,3
freq_learn,0.03625029051425035,0.011489028043867077,2,"log_frequency,reference_learnability",False,0.035233363023110774,0.047818853839520524,learnability_only,3
three_factor,0.04622247214892447,0.017160860663375705,3,"log_frequency,reference_learnability,formal_utility",False,0.035233363023110774,0.047818853839520524,learnability_only,3
frequency_only,0.46744672734105974,0.11010480094285137,1,log_frequency,False,0.035233363023110774,0.047818853839520524,learnability_only,3
learnability_only,0.03102901833970234,0.010974690611265802,1,reference_learnability,True,0.03102901833970234,0.042003708950968145,learnability_only,4
freq_learn,0.03397575802420286,0.010268904633113102,2,"log_frequency,reference_learnability",False,0.03102901833970234,0.042003708950968145,learnability_only,4
three_factor,0.037274677562605454,0.01174355431361848,3,"log_frequency,reference_learnability,formal_utility",False,0.03102901833970234,0.042003708950968145,learnability_only,4
frequency_only,0.4939001303136747,0.13591696869647635,1,log_frequency,False,0.03102901833970234,0.042003708950968145,learnability_only,4
learnability_only,0.04200620730193225,0.00841507456815369,1,reference_learnability,True,0.04200620730193225,0.05042128187008594,learnability_only,5
three_factor,0.04606014483141452,0.01431956416848956,3,"log_frequency,reference_learnability,formal_utility",False,0.04200620730193225,0.05042128187008594,learnability_only,5
freq_learn,0.06244465413468388,0.023620247400239817,2,"log_frequency,reference_learnability",False,0.04200620730193225,0.05042128187008594,learnability_only,5
frequency_only,0.43671304604915895,0.05594280893622748,1,log_frequency,False,0.04200620730193225,0.05042128187008594,learnability_only,5
three_factor,0.014635473233588015,0.0044347958151523485,3,"log_frequency,reference_learnability,formal_utility",False,0.014635473233588015,0.019070269048740363,learnability_only,6
freq_learn,0.014675103762669135,0.005588380695909055,2,"log_frequency,reference_learnability",False,0.014635473233588015,0.019070269048740363,learnability_only,6
learnability_only,0.014703139953447858,0.005378698906185137,1,reference_learnability,True,0.014635473233588015,0.019070269048740363,learnability_only,6
frequency_only,0.48451495373704334,0.10409990895263956,1,log_frequency,False,0.014635473233588015,0.019070269048740363,learnability_only,6
learnability_only,0.03731629285574915,0.010453490962900585,1,reference_learnability,True,0.03731629285574915,0.04776978381864974,learnability_only,7
freq_learn,0.0438556821392093,0.009814088496363121,2,"log_frequency,reference_learnability",False,0.03731629285574915,0.04776978381864974,learnability_only,7
three_factor,0.04466050068789919,0.010123375388705048,3,"log_frequency,reference_learnability,formal_utility",False,0.03731629285574915,0.04776978381864974,learnability_only,7
frequency_only,0.42732972841218064,0.09614199051046479,1,log_frequency,False,0.03731629285574915,0.04776978381864974,learnability_only,7
three_factor,0.05876205466223487,0.010700893140252132,3,"log_frequency,reference_learnability,formal_utility",False,0.05876205466223487,0.069462947802487,learnability_only,8
learnability_only,0.06804052121528868,0.02058593027588293,1,reference_learnability,True,0.05876205466223487,0.069462947802487,learnability_only,8
freq_learn,0.07265637455012888,0.021887400023706264,2,"log_frequency,reference_learnability",False,0.05876205466223487,0.069462947802487,learnability_only,8
frequency_only,0.40866508824232994,0.10166193991369435,1,log_frequency,False,0.05876205466223487,0.069462947802487,learnability_only,8
learnability_only,0.042441631520699616,0.009190515165190238,1,reference_learnability,True,0.042441631520699616,0.051632146685889856,learnability_only,9
three_factor,0.043327686300134644,0.016171108841930962,3,"log_frequency,reference_learnability,formal_utility",False,0.042441631520699616,0.051632146685889856,learnability_only,9
freq_learn,0.05015954467609154,0.013454168895879979,2,"log_frequency,reference_learnability",False,0.042441631520699616,0.051632146685889856,learnability_only,9
frequency_only,0.47364754754769167,0.07380786717298943,1,log_frequency,False,0.042441631520699616,0.051632146685889856,learnability_only,9
three_factor,0.049718142714005154,0.017420331416814774,3,"log_frequency,reference_learnability,formal_utility",False,0.049718142714005154,0.06713847413081993,three_factor,0
