model,fold,mse,n_train,n_test,features,complexity,true_mechanism,replicate
frequency_only,0,0.003339474560905947,9,3,log_frequency,1,frequency_only,0
frequency_only,1,0.004483825391931508,9,3,log_frequency,1,frequency_only,0
frequency_only,2,0.05547491392207987,10,2,log_frequency,1,frequency_only,0
frequency_only,3,0.052612483346975554,10,2,log_frequency,1,frequency_only,0
frequency_only,4,0.012820321168524128,10,2,log_frequency,1,frequency_only,0
learnability_only,0,0.173179449404254,9,3,reference_learnability,1,frequency_only,0
learnability_only,1,1.0775233939688864,9,3,reference_learnability,1,frequency_only,0
learnability_only,2,0.3103454389683182,10,2,reference_learnability,1,frequency_only,0
learnability_only,3,0.6017042418178449,10,2,reference_learnability,1,frequency_only,0
learnability_only,4,0.3407608105250789,10,2,reference_learnability,1,frequency_only,0
freq_learn,0,0.0034386426908739887,9,3,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,1,0.006831657429190635,9,3,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,2,0.05511119174531816,10,2,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,3,0.05623086106190475,10,2,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,4,0.01276276990585718,10,2,"log_frequency,reference_learnability",2,frequency_only,0
three_factor,0,0.004095431709964839,9,3,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,1,0.0069038370265191475,9,3,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,2,0.0593280826915008,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,3,0.05951919125212544,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,4,0.016953062651814413,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
frequency_only,0,0.058383744452681095,9,3,log_frequency,1,frequency_only,1
frequency_only,1,0.016170346747601306,9,3,log_frequency,1,frequency_only,1
frequency_only,2,0.0012094024686681443,10,2,log_frequency,1,frequency_only,1
frequency_only,3,0.059548360583678586,10,2,log_frequency,1,frequency_only,1
frequency_only,4,0.04015015203610401,10,2,log_frequency,1,frequency_only,1
learnability_only,0,0.8161156896955828,9,3,reference_learnability,1,frequency_only,1
learnability_only,1,1.1096647981459176,9,3,reference_learnability,1,frequency_only,1
learnability_only,2,0.18095850794407126,10,2,reference_learnability,1,frequency_only,1
learnability_only,3,0.11856079715096758,10,2,reference_learnability,1,frequency_only,1
learnability_only,4,0.6645215562188689,10,2,reference_learnability,1,frequency_only,1
freq_learn,0,0.12811965038025633,9,3,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,1,0.014090972823046027,9,3,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,2,0.002868114229709148,10,2,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,3,0.05940958421532774,10,2,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,4,0.03888546928103165,10,2,"log_frequency,reference_learnability",2,frequency_only,1
three_factor,0,0.12669528965349705,9,3,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,1,0.012289184998302892,9,3,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,2,0.011280652414406902,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,3,0.06251625710188072,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
three_factor,4,0.037629045991625684,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,1
frequency_only,0,0.04413610510775429,9,3,log_frequency,1,frequency_only,2
frequency_only,1,0.09081241894009488,9,3,log_frequency,1,frequency_only,2
frequency_only,2,0.03714032867251914,10,2,log_frequency,1,frequency_only,2
frequency_only,3,0.006572174613607807,10,2,log_frequency,1,frequency_only,2
frequency_only,4,0.0023164549668522544,10,2,log_frequency,1,frequency_only,2
learnability_only,0,0.5485980961627027,9,3,reference_learnability,1,frequency_only,2
learnability_only,1,0.5431231580808201,9,3,reference_learnability,1,frequency_only,2
learnability_only,2,0.31795183727293586,10,2,reference_learnability,1,frequency_only,2
learnability_only,3,0.46624525585006094,10,2,reference_learnability,1,frequency_only,2
learnability_only,4,1.29328443875085,10,2,reference_learnability,1,frequency_only,2
freq_learn,0,0.03861344884149187,9,3,"log_frequency,reference_learnability",2,frequency_only,2
freq_learn,1,0.09506988281488783,9,3,"log_frequency,reference_learnability",2,frequency_only,2
freq_learn,2,0.05185839283769199,10,2,"log_frequency,reference_learnability",2,frequency_only,2
freq_learn,3,0.005254550952533978,10,2,"log_frequency,reference_learnability",2,frequency_only,2
freq_learn,4,0.0009022484038149654,10,2,"log_frequency,reference_learnability",2,frequency_only,2
three_factor,0,0.02589592779941703,9,3,"log_frequency,reference_learnability,formal_utility",3,frequency_only,2
three_factor,1,0.10577177085714541,9,3,"log_frequency,reference_learnability,formal_utility",3,frequency_only,2
three_factor,2,0.08339063389967377,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,2
three_factor,3,0.06440331254503154,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,2
three_factor,4,0.013309577136992974,10,2,"log_frequency,reference_learnability,formal_utility",3,frequency_only,2
frequency_only,0,0.08294823619042936,9,3,log_frequency,1,learnability_only,0
frequency_only,1,0.2213147108420442,9,3,log_frequency,1,learnability_only,0
frequency_only,2,0.6198228118455139,10,2,log_frequency,1,learnability_only,0
frequency_only,3,0.4017851937040024,10,2,log_frequency,1,learnability_only,0
frequency_only,4,0.24406316424706892,10,2,log_frequency,1,learnability_only,0
learnability_only,0,0.05354635163116981,9,3,reference_learnability,1,learnability_only,0
learnability_only,1,0.04671584006587116,9,3,reference_learnability,1,learnability_only,0
learnability_only,2,0.053197933463933644,10,2,reference_learnability,1,learnability_only,0
learnability_only,3,0.011541789867187013,10,2,reference_learnability,1,learnability_only,0
learnability_only,4,0.017487854711394323,10,2,reference_learnability,1,learnability_only,0
freq_learn,0,0.04928151615673373,9,3,"log_frequency,reference_learnability",2,learnability_only,0
freq_learn,1,0.041419517518792415,9,3,"log_frequency,reference_learnability",2,learnability_only,0
freq_learn,2,0.05065248551009367,10,2,"log_frequency,reference_learnability",2,learnability_only,0
freq_learn,3,0.03661636235744852,10,2,"log_frequency,reference_learnability",2,learnability_only,0
freq_learn,4,0.02967132860799638,10,2,"log_frequency,reference_learnability",2,learnability_only,0
three_factor,0,0.039134386448758,9,3,"log_frequency,reference_learnability,formal_utility",3,learnability_only,0
three_factor,1,0.018836723602425127,9,3,"log_frequency,reference_learnability,formal_utility",3,learnability_only,0
three_factor,2,0.06493064033352199,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,0
three_factor,3,0.021180148508613716,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,0
three_factor,4,0.019965003828989317,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,0
frequency_only,0,0.622695097052837,9,3,log_frequency,1,learnability_only,1
frequency_only,1,0.3437341702718615,9,3,log_frequency,1,learnability_only,1
frequency_only,2,0.27216342124822557,10,2,log_frequency,1,learnability_only,1
frequency_only,3,0.1421855943037964,10,2,log_frequency,1,learnability_only,1
frequency_only,4,1.0385426444587174,10,2,log_frequency,1,learnability_only,1
learnability_only,0,0.09308189748566613,9,3,reference_learnability,1,learnability_only,1
learnability_only,1,0.01601695690861214,9,3,reference_learnability,1,learnability_only,1
learnability_only,2,0.027696398173809755,10,2,reference_learnability,1,learnability_only,1
learnability_only,3,0.06762866069136832,10,2,reference_learnability,1,learnability_only,1
learnability_only,4,0.13936880132923368,10,2,reference_learnability,1,learnability_only,1
freq_learn,0,0.04354098284213139,9,3,"log_frequency,reference_learnability",2,learnability_only,1
freq_learn,1,0.016490665760896972,9,3,"log_frequency,reference_learnability",2,learnability_only,1
freq_learn,2,0.023994564097215676,10,2,"log_frequency,reference_learnability",2,learnability_only,1
freq_learn,3,0.04690756720381842,10,2,"log_frequency,reference_learnability",2,learnability_only,1
freq_learn,4,0.028730068993577135,10,2,"log_frequency,reference_learnability",2,learnability_only,1
three_factor,0,0.036593544137260244,9,3,"log_frequency,reference_learnability,formal_utility",3,learnability_only,1
three_factor,1,0.05490587873904823,9,3,"log_frequency,reference_learnability,formal_utility",3,learnability_only,1
three_factor,2,0.02577007260354801,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,1
three_factor,3,0.03858838578817679,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,1
three_factor,4,0.020824891056539726,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,1
frequency_only,0,0.03673670050584706,9,3,log_frequency,1,learnability_only,2
frequency_only,1,0.28012140795527224,9,3,log_frequency,1,learnability_only,2
frequency_only,2,0.6452294466799264,10,2,log_frequency,1,learnability_only,2
frequency_only,3,0.8225818953155022,10,2,log_frequency,1,learnability_only,2
frequency_only,4,0.0941948077500025,10,2,log_frequency,1,learnability_only,2
