condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,candidate_seed,metric_family,analysis_threshold
baseline,0,A00_copy,atomic,13824.0,0.7,2,token_accuracy,0.9391276240348816,0.66015625,0.66015625,8,token_accuracy,0.7
baseline,0,A01_reverse,atomic,64768.0,0.7,2,token_accuracy,0.8489583730697632,0.234375,0.234375,8,token_accuracy,0.7
baseline,0,A02_substitute,atomic,,0.7,2,token_accuracy,0.6328125,0.0,0.0,8,token_accuracy,0.7
baseline,0,A03_copy,atomic,13824.0,0.7,2,token_accuracy,0.9332682490348816,0.62890625,0.62890625,8,token_accuracy,0.7
baseline,0,A04_reverse,atomic,64768.0,0.7,2,token_accuracy,0.8489583730697632,0.25390625,0.25390625,8,token_accuracy,0.7
baseline,0,A05_substitute,atomic,,0.7,2,token_accuracy,0.6416015625,0.0,0.0,8,token_accuracy,0.7
baseline,0,A06_copy,atomic,13824.0,0.7,2,token_accuracy,0.9401041865348816,0.6640625,0.6640625,8,token_accuracy,0.7
baseline,0,A07_reverse,atomic,64768.0,0.7,2,token_accuracy,0.8463541865348816,0.228515625,0.228515625,8,token_accuracy,0.7
baseline,0,C00_reverse_then_substitute_06_04,composite,64768.0,0.7,2,token_accuracy,0.8424479365348816,0.216796875,0.216796875,8,token_accuracy,0.7
baseline,0,C01_substitute_then_reverse_03_04,composite,64768.0,0.7,2,token_accuracy,0.8489583730697632,0.251953125,0.251953125,8,token_accuracy,0.7
baseline,0,C02_copy_then_substitute_00_07,composite,64768.0,0.7,2,token_accuracy,0.8470052480697632,0.224609375,0.224609375,8,token_accuracy,0.7
baseline,0,C03_reverse_then_substitute_06_01,composite,64768.0,0.7,2,token_accuracy,0.845703125,0.224609375,0.224609375,8,token_accuracy,0.7
baseline,0,C04_substitute_then_reverse_07_01,composite,13824.0,0.7,2,token_accuracy,0.9466146230697632,0.6953125,0.6953125,8,token_accuracy,0.7
baseline,0,C05_copy_then_substitute_06_07,composite,64768.0,0.7,2,token_accuracy,0.8460286855697632,0.244140625,0.244140625,8,token_accuracy,0.7
baseline,0,C06_reverse_then_substitute_02_00,composite,,0.7,2,token_accuracy,0.6263021230697632,0.0,0.0,8,token_accuracy,0.7
baseline,0,C07_substitute_then_reverse_04_03,composite,64768.0,0.7,2,token_accuracy,0.8564453125,0.251953125,0.251953125,8,token_accuracy,0.7
