condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
baseline,0,A00_copy,atomic,,0.9,2,exact_match,0.826171875,0.826171875,0.826171875
baseline,0,A01_reverse,atomic,,0.9,2,exact_match,0.1796875,0.1796875,0.1796875
baseline,0,A02_substitute,atomic,,0.9,2,exact_match,0.0,0.0,0.0
baseline,0,A03_copy,atomic,,0.9,2,exact_match,0.783203125,0.783203125,0.783203125
baseline,0,A04_reverse,atomic,,0.9,2,exact_match,0.177734375,0.177734375,0.177734375
baseline,0,A05_substitute,atomic,,0.9,2,exact_match,0.001953125,0.001953125,0.001953125
baseline,0,A06_copy,atomic,,0.9,2,exact_match,0.783203125,0.783203125,0.783203125
baseline,0,A07_reverse,atomic,,0.9,2,exact_match,0.154296875,0.154296875,0.154296875
baseline,0,C00_reverse_then_substitute_06_04,composite,,0.9,2,exact_match,0.16015625,0.16015625,0.16015625
baseline,0,C01_substitute_then_reverse_03_04,composite,,0.9,2,exact_match,0.177734375,0.177734375,0.177734375
baseline,0,C02_copy_then_substitute_00_07,composite,,0.9,2,exact_match,0.13671875,0.13671875,0.13671875
baseline,0,C03_reverse_then_substitute_06_01,composite,,0.9,2,exact_match,0.1640625,0.1640625,0.1640625
baseline,0,C04_substitute_then_reverse_07_01,composite,,0.9,2,exact_match,0.76171875,0.76171875,0.76171875
baseline,0,C05_copy_then_substitute_06_07,composite,,0.9,2,exact_match,0.177734375,0.177734375,0.177734375
baseline,0,C06_reverse_then_substitute_02_00,composite,,0.9,2,exact_match,0.0,0.0,0.0
baseline,0,C07_substitute_then_reverse_04_03,composite,,0.9,2,exact_match,0.17578125,0.17578125,0.17578125
baseline,0,K00_shortcut_for_A00_copy,shortcut,,0.9,2,exact_match,0.7890625,0.7890625,0.7890625
baseline,0,K01_shortcut_for_A07_reverse,shortcut,,0.9,2,exact_match,0.765625,0.765625,0.765625
baseline,0,K02_shortcut_for_A04_reverse,shortcut,,0.9,2,exact_match,0.751953125,0.751953125,0.751953125
baseline,0,S00_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,0,S01_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,0,S02_surface_rotate,surface_control,,0.9,2,exact_match,0.0,0.0,0.0
baseline,0,U00_unrelated_substitute,unrelated,,0.9,2,exact_match,0.0,0.0,0.0
baseline,0,U01_unrelated_substitute,unrelated,,0.9,2,exact_match,0.0,0.0,0.0
baseline,0,U02_unrelated_substitute,unrelated,,0.9,2,exact_match,0.0,0.0,0.0
baseline,1,A00_copy,atomic,,0.9,2,exact_match,0.71484375,0.71484375,0.71484375
baseline,1,A01_reverse,atomic,,0.9,2,exact_match,0.203125,0.203125,0.203125
baseline,1,A02_substitute,atomic,,0.9,2,exact_match,0.0,0.0,0.0
baseline,1,A03_copy,atomic,,0.9,2,exact_match,0.728515625,0.728515625,0.728515625
baseline,1,A04_reverse,atomic,,0.9,2,exact_match,0.197265625,0.197265625,0.197265625
baseline,1,A05_substitute,atomic,,0.9,2,exact_match,0.0,0.0,0.0
baseline,1,A06_copy,atomic,,0.9,2,exact_match,0.720703125,0.720703125,0.720703125
baseline,1,A07_reverse,atomic,,0.9,2,exact_match,0.216796875,0.216796875,0.216796875
baseline,1,C00_reverse_then_substitute_06_04,composite,,0.9,2,exact_match,0.1953125,0.1953125,0.1953125
baseline,1,C01_substitute_then_reverse_03_04,composite,,0.9,2,exact_match,0.2265625,0.2265625,0.2265625
baseline,1,C02_copy_then_substitute_00_07,composite,,0.9,2,exact_match,0.201171875,0.201171875,0.201171875
baseline,1,C03_reverse_then_substitute_06_01,composite,,0.9,2,exact_match,0.2109375,0.2109375,0.2109375
baseline,1,C04_substitute_then_reverse_07_01,composite,,0.9,2,exact_match,0.724609375,0.724609375,0.724609375
baseline,1,C05_copy_then_substitute_06_07,composite,,0.9,2,exact_match,0.203125,0.203125,0.203125
baseline,1,C06_reverse_then_substitute_02_00,composite,,0.9,2,exact_match,0.0,0.0,0.0
baseline,1,C07_substitute_then_reverse_04_03,composite,,0.9,2,exact_match,0.21484375,0.21484375,0.21484375
baseline,1,K00_shortcut_for_A00_copy,shortcut,,0.9,2,exact_match,0.748046875,0.748046875,0.748046875
