run_dir,model_name,has_curves,has_readiness,has_h1,has_residual_refinement,n_slices,n_checkpoints,h2_ready_metrics,n_residual_composites,n_consistent_under,n_consistent_over,n_mixed
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,True,True,True,True,29,4,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,10,7,3,0
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,True,True,True,True,29,4,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,10,10,0,0
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,True,True,True,True,29,4,accuracy;mean_correct_margin;mean_logprob_correct;mean_logprob_margin,10,10,0,0
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,True,True,True,True,29,3,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,10,10,0,0
results/pythia_model_sweep_v31_mid_smoke/pythia-1.4b_n16,EleutherAI/pythia-1.4b,True,True,True,True,29,3,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,10,10,0,0
results/pythia_model_sweep_v32/pythia-1b_n64,EleutherAI/pythia-1b,True,True,True,True,29,4,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,10,9,1,0
results/pythia_model_sweep_v32/pythia-1p4b_n64,EleutherAI/pythia-1.4b,True,True,True,True,29,4,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,10,10,0,0
results/pythia_model_sweep_v32/pythia-2p8b_n16,pythia-2p8b_n16,False,False,False,False,0,0,,0,0,0,0
results/pythia_model_sweep_v32/pythia-6p9b_n16,pythia-6p9b_n16,False,False,False,False,0,0,,0,0,0,0
results/pythia_model_sweep_v32/pythia-12b_n16,pythia-12b_n16,False,False,False,False,0,0,,0,0,0,0
